Time,solar_irradiance,temp,hour_sun
20230101:0011,0,0,14.93
20230101:0111,0,0,15.04
20230101:0211,0,0,14.91
20230101:0311,0,0,14.73
20230101:0411,0,0,14.59
20230101:0511,0,0,14.73
20230101:0611,0,0,14.62
20230101:0711,0,0,14.48
20230101:0811,26.02,4.63,13.96
20230101:0911,47.22,9.88,14.18
20230101:1011,84.8,13.28,14.44
20230101:1111,106.96,14.53,14.76
20230101:1211,90.58,13.53,14.84
20230101:1311,51.07,10.36,14.68
20230101:1411,26.02,5.31,14.3
20230101:1511,0,0,13.6
20230101:1611,0,0,12.82
20230101:1711,0,0,11.98
20230101:1811,0,0,11.45
20230101:1911,0,0,11.91
20230101:2011,0,0,11.86
20230101:2111,0,0,11.72
20230101:2211,0,0,11.44
20230101:2311,0,0,10.99
20230102:0011,0,0,11.03
20230102:0111,0,0,11.12
20230102:0211,0,0,11.43
20230102:0311,0,0,11.7
20230102:0411,0,0,11.82
20230102:0511,0,0,11.98
20230102:0611,0,0,11.98
20230102:0711,0,0,13.08
20230102:0811,15.42,4.66,13.38
20230102:0911,16.38,9.93,13.58
20230102:1011,69.38,13.34,14.02
20230102:1111,79.02,14.62,14.41
20230102:1211,75.16,13.63,13.5
20230102:1311,50.11,10.48,13.03
20230102:1411,12.53,5.43,12.95
20230102:1511,0,0,12.45
20230102:1611,0,0,11.63
20230102:1711,0,0,10.91
20230102:1811,0,0,10.34
20230102:1911,0,0,9.94
20230102:2011,0,0,9.52
20230102:2111,0,0,9.17
20230102:2211,0,0,8.93
20230102:2311,0,0,8.65
20230103:0011,0,0,8.42
20230103:0111,0,0,8.19
20230103:0211,0,0,7.71
20230103:0311,0,0,7.26
20230103:0411,0,0,6.91
20230103:0511,0,0,6.6
20230103:0611,0,0,6.18
20230103:0711,0,0,6.12
20230103:0811,22.16,4.7,6.23
20230103:0911,67.45,9.99,6.45
20230103:1011,92.51,13.42,6.54
20230103:1111,106.96,14.71,6.95
20230103:1211,79.02,13.74,6.86
20230103:1311,72.27,10.6,6.9
20230103:1411,31.8,5.56,6.76
20230103:1511,0,0,6.46
20230103:1611,0,0,5.84
20230103:1711,0,0,5.34
20230103:1811,0,0,5.16
20230103:1911,0,0,5.22
20230103:2011,0,0,5.82
20230103:2111,0,0,5.72
20230103:2211,0,0,5.35
20230103:2311,0,0,5.02
20230104:0011,0,0,4.83
20230104:0111,0,0,4.6
20230104:0211,0,0,4.59
20230104:0311,0,0,4.73
20230104:0411,0,0,5.14
20230104:0511,0,0,5.61
20230104:0611,0,0,6.22
20230104:0711,0,0,6.39
20230104:0811,16.38,4.75,6.77
20230104:0911,31.8,10.05,7.18
20230104:1011,53.96,13.5,7.55
20230104:1111,52.03,14.81,7.97
20230104:1211,17.34,13.85,8.56
20230104:1311,35.65,10.72,9.12
20230104:1411,13.49,5.69,9.77
20230104:1511,0,0,10.25
20230104:1611,0,0,10.35
20230104:1711,0,0,10.38
20230104:1811,0,0,10.82
20230104:1911,0,0,10.71
20230104:2011,0,0,10.81
20230104:2111,0,0,10.46
20230104:2211,0,0,10.05
20230104:2311,0,0,9.82
20230105:0011,0,0,9.32
20230105:0111,0,0,9.36
20230105:0211,0,0,9.13
20230105:0311,0,0,9.04
20230105:0411,0,0,8.89
20230105:0511,0,0,8.86
20230105:0611,0,0,8.94
20230105:0711,0,0,8.56
20230105:0811,21.2,4.8,8.6
20230105:0911,66.49,10.12,8.66
20230105:1011,52.03,13.59,8.89
20230105:1111,57.82,14.91,9.13
20230105:1211,99.25,13.97,9.32
20230105:1311,75.16,10.86,9.2
20230105:1411,12.53,5.83,8.9
20230105:1511,0,0,8.64
20230105:1611,0,0,8.08
20230105:1711,0,0,7.62
20230105:1811,0,0,7.28
20230105:1911,0,0,7.16
20230105:2011,0,0,6.96
20230105:2111,0,0,6.38
20230105:2211,0,0,6.37
20230105:2311,0,0,5.96
20230106:0011,0,0,6.13
20230106:0111,0,0,6.12
20230106:0211,0,0,6.26
20230106:0311,0,0,6.48
20230106:0411,0,0,6.82
20230106:0511,0,0,7.14
20230106:0611,0,0,7.27
20230106:0711,0,0,7.71
20230106:0811,25.05,4.86,8.29
20230106:0911,72.27,10.2,8.93
20230106:1011,32.76,13.69,9.69
20230106:1111,75.16,15.03,10.47
20230106:1211,57.82,14.1,10.55
20230106:1311,54.93,11,10.47
20230106:1411,37.58,5.98,10.22
20230106:1511,0,0,9.76
20230106:1611,0,0,8.85
20230106:1711,0,0,8.42
20230106:1811,0,0,8.2
20230106:1911,0,0,8.7
20230106:2011,0,0,8.26
20230106:2111,0,0,8.12
20230106:2211,0,0,7.91
20230106:2311,0,0,7.68
20230107:0011,0,0,7.57
20230107:0111,0,0,7.76
20230107:0211,0,0,7.9
20230107:0311,0,0,7.73
20230107:0411,0,0,7.54
20230107:0511,0,0,7.39
20230107:0611,0,0,7.49
20230107:0711,0,0,7.66
20230107:0811,28.91,4.93,7.7
20230107:0911,73.23,10.28,8.14
20230107:1011,101.18,13.79,8.89
20230107:1111,115.63,15.15,9.67
20230107:1211,91.54,14.24,10.21
20230107:1311,75.16,11.14,10.21
20230107:1411,30.84,6.13,9.89
20230107:1511,0,0,9.15
20230107:1611,0,0,8.55
20230107:1711,0,0,8.01
20230107:1811,0,0,7.59
20230107:1911,0,0,8.68
20230107:2011,0,0,8.45
20230107:2111,0,0,8.13
20230107:2211,0,0,7.75
20230107:2311,0,0,7.3
20230108:0011,0,0,6.94
20230108:0111,0,0,6.54
20230108:0211,0,0,6.46
20230108:0311,0,0,6.45
20230108:0411,0,0,6.9
20230108:0511,0,0,6.81
20230108:0611,0,0,6.9
20230108:0711,0,0,7.33
20230108:0811,26.02,5.01,7.44
20230108:0911,27.94,10.38,7.73
20230108:1011,96.36,13.9,7.86
20230108:1111,111.78,15.28,7.95
20230108:1211,79.98,14.38,8.15
20230108:1311,71.31,11.3,8.64
20230108:1411,33.73,6.29,8.89
20230108:1511,0,0,8.38
20230108:1611,0,0,7.99
20230108:1711,0,0,7.75
20230108:1811,0,0,7.69
20230108:1911,0,0,7.23
20230108:2011,0,0,6.91
20230108:2111,0,0,6.59
20230108:2211,0,0,6.33
20230108:2311,0,0,6.01
20230109:0011,0,0,5.61
20230109:0111,0,0,5.31
20230109:0211,0,0,5.41
20230109:0311,0,0,5.62
20230109:0411,0,0,5.59
20230109:0511,0,0,5.7
20230109:0611,0,0,5.72
20230109:0711,0,0,6.79
20230109:0811,29.87,5.09,7.23
20230109:0911,70.34,10.48,7.5
20230109:1011,104.07,14.02,7.69
20230109:1111,79.98,15.42,7.9
20230109:1211,72.27,14.53,8.03
20230109:1311,83.83,11.46,8.17
20230109:1411,29.87,6.45,7.68
20230109:1511,0,0,7.04
20230109:1611,0,0,6.46
20230109:1711,0,0,6.05
20230109:1811,0,0,5.87
20230109:1911,0,0,5.81
20230109:2011,0,0,5.95
20230109:2111,0,0,5.75
20230109:2211,0,0,5.94
20230109:2311,0,0,6.29
20230110:0011,0,0,6.31
20230110:0111,0,0,6.05
20230110:0211,0,0,5.53
20230110:0311,0,0,5.38
20230110:0411,0,0,5.27
20230110:0511,0,0,5.41
20230110:0611,0,0,5.5
20230110:0711,0,0,5.62
20230110:0811,26.02,5.18,5.77
20230110:0911,75.16,10.58,6.05
20230110:1011,82.87,14.15,6.47
20230110:1111,119.49,15.56,6.88
20230110:1211,66.49,14.69,7.01
20230110:1311,84.8,11.62,7.12
20230110:1411,41.44,6.62,7.06
20230110:1511,0,0,6.88
20230110:1611,0,0,6.51
20230110:1711,0,0,6.26
20230110:1811,0,0,6.07
20230110:1911,0,0,5.51
20230110:2011,0,0,5.19
20230110:2111,0,0,4.86
20230110:2211,0,0,4.85
20230110:2311,0,0,5.02
20230111:0011,0,0,5.17
20230111:0111,0,0,5.2
20230111:0211,0,0,5.4
20230111:0311,0,0,5.73
20230111:0411,0,0,6.02
20230111:0511,0,0,6.33
20230111:0611,0,0,6.62
20230111:0711,0,0,6.61
20230111:0811,16.38,5.27,7.1
20230111:0911,48.18,10.7,7.39
20230111:1011,97.32,14.28,7.91
20230111:1111,76.13,15.71,8.39
20230111:1211,79.02,14.85,8.75
20230111:1311,51.07,11.79,9.04
20230111:1411,37.58,6.8,9.17
20230111:1511,0,0,9.22
20230111:1611,0,0,9
20230111:1711,0,0,8.62
20230111:1811,0,0,7.87
20230111:1911,0,0,7.46
20230111:2011,0,0,7.07
20230111:2111,0,0,6.85
20230111:2211,0,0,6.51
20230111:2311,0,0,6.13
20230112:0011,0,0,5.85
20230112:0111,0,0,5.89
20230112:0211,0,0,6.1
20230112:0311,0,0,6.18
20230112:0411,0,0,6.56
20230112:0511,0,0,6.98
20230112:0611,0,0,7.29
20230112:0711,0,0,7.92
20230112:0811,12.53,5.38,8.08
20230112:0911,67.45,10.82,8.42
20230112:1011,64.56,14.42,8.66
20230112:1111,108.89,15.87,8.66
20230112:1211,98.29,15.02,8.68
20230112:1311,52.03,11.97,9.09
20230112:1411,39.51,6.98,9.53
20230112:1511,0,0,9.73
20230112:1611,0,0,9.92
20230112:1711,0,0,10.06
20230112:1811,0,0,10.11
20230112:1911,0,0,9.82
20230112:2011,0,0,9.6
20230112:2111,0,0,9.56
20230112:2211,0,0,9.59
20230112:2311,0,0,9.65
20230113:0011,0,0,9.66
20230113:0111,0,0,9.76
20230113:0211,0,0,9.82
20230113:0311,0,0,9.75
20230113:0411,0,0,9.51
20230113:0511,0,0,8.98
20230113:0611,0,0,8.47
20230113:0711,0,0,8.98
20230113:0811,33.73,5.49,8.59
20230113:0911,46.25,10.95,9.02
20230113:1011,62.63,14.57,9.18
20230113:1111,97.32,16.03,9.53
20230113:1211,43.36,15.2,9.76
20230113:1311,31.8,12.16,9.63
20230113:1411,44.33,7.17,9.24
20230113:1511,0,0,8.72
20230113:1611,0,0,8.06
20230113:1711,0,0,7.87
20230113:1811,0,0,7.82
20230113:1911,0,0,7.16
20230113:2011,0,0,7.12
20230113:2111,0,0,7.26
20230113:2211,0,0,7.16
20230113:2311,0,0,7.19
20230114:0011,0,0,7.24
20230114:0111,0,0,7.18
20230114:0211,0,0,7.01
20230114:0311,0,0,7.01
20230114:0411,0,0,7.13
20230114:0511,0,0,7.08
20230114:0611,0,0,7
20230114:0711,0,0,7.09
20230114:0811,31.8,5.6,7.12
20230114:0911,79.02,11.09,7.26
20230114:1011,110.82,14.72,7.47
20230114:1111,121.41,16.2,7.5
20230114:1211,44.33,15.39,7.54
20230114:1311,37.58,12.35,7.34
20230114:1411,31.8,7.36,7.06
20230114:1511,0,0,6.99
20230114:1611,0,0,7.15
20230114:1711,0,0,7.44
20230114:1811,0,0,7.78
20230114:1911,0,0,7.89
20230114:2011,0,0,8.29
20230114:2111,0,0,8.68
20230114:2211,0,0,9.04
20230114:2311,0,0,9.59
20230115:0011,0,0,10.03
20230115:0111,0,0,10.21
20230115:0211,0,0,10.07
20230115:0311,0,0,9.69
20230115:0411,0,0,8.67
20230115:0511,0,0,7.33
20230115:0611,0,0,6.57
20230115:0711,0,0,6.3
20230115:0811,35.65,5.73,6.22
20230115:0911,58.78,11.23,6.38
20230115:1011,80.94,14.88,6.81
20230115:1111,86.72,16.38,7.46
20230115:1211,118.52,15.58,7.65
20230115:1311,65.53,12.55,7.54
20230115:1411,50.11,7.56,7.42
20230115:1511,0,0,7
20230115:1611,0,0,6.53
20230115:1711,0,0,6.33
20230115:1811,0,0,6.14
20230115:1911,0,0,6.2
20230115:2011,0,0,6.06
20230115:2111,0,0,5.89
20230115:2211,0,0,5.79
20230115:2311,0,0,5.37
20230116:0011,0,0,5.14
20230116:0111,0,0,4.8
20230116:0211,0,0,4.72
20230116:0311,0,0,4.39
20230116:0411,0,0,4.06
20230116:0511,0,0,3.85
20230116:0611,0,0,3.77
20230116:0711,0,0,3.23
20230116:0811,26.98,5.86,3.12
20230116:0911,50.11,11.38,3.68
20230116:1011,61.67,15.05,4.49
20230116:1111,128.16,16.57,5.45
20230116:1211,107.92,15.77,6.23
20230116:1311,89.62,12.75,6.57
20230116:1411,51.07,7.77,6.44
20230116:1511,0,0,5.96
20230116:1611,0,0,5.38
20230116:1711,0,0,5.29
20230116:1811,0,0,5.13
20230116:1911,0,0,4.98
20230116:2011,0,0,4.93
20230116:2111,0,0,5.09
20230116:2211,0,0,4.99
20230116:2311,0,0,4.78
20230117:0011,0,0,4.77
20230117:0111,0,0,4.65
20230117:0211,0,0,4.73
20230117:0311,0,0,4.68
20230117:0411,0,0,4.6
20230117:0511,0,0,4.14
20230117:0611,0,0,3.81
20230117:0711,0,0,3.77
20230117:0811,8.67,6,3.53
20230117:0911,82.87,11.53,3.34
20230117:1011,115.63,15.23,2.84
20230117:1111,129.12,16.76,3.24
20230117:1211,120.45,15.98,3.54
20230117:1311,64.56,12.96,3.86
20230117:1411,53.96,7.98,3.84
20230117:1511,0,0,3.38
20230117:1611,0,0,2.62
20230117:1711,0,0,2.03
20230117:1811,0,0,1.41
20230117:1911,0,0,0.71
20230117:2011,0,0,0.19
20230117:2111,0,0,-1.11
20230117:2211,0,0,-2.12
20230117:2311,0,0,-1.65
20230118:0011,0,0,-0.04
20230118:0111,0,0,-0.34
20230118:0211,0,0,-0.73
20230118:0311,0,0,-0.87
20230118:0411,0,0,-1
20230118:0511,0,0,-1.31
20230118:0611,0,0,-1.78
20230118:0711,0,0,-2.39
20230118:0811,40.47,6.14,-2.23
20230118:0911,58.78,11.7,-0.65
20230118:1011,63.6,15.41,0.76
20230118:1111,134.91,16.96,1.23
20230118:1211,126.23,16.18,1.44
20230118:1311,97.32,13.17,1.61
20230118:1411,53,8.19,1.44
20230118:1511,0.96,1.63,0.86
20230118:1611,0,0,0.12
20230118:1711,0,0,-0.62
20230118:1811,0,0,-1.76
20230118:1911,0,0,-2.73
20230118:2011,0,0,-3.17
20230118:2111,0,0,-3.44
20230118:2211,0,0,-3.29
20230118:2311,0,0,-2.98
20230119:0011,0,0,-2.44
20230119:0111,0,0,-2.09
20230119:0211,0,0,-1.91
20230119:0311,0,0,-1.77
20230119:0411,0,0,-1.65
20230119:0511,0,0,-1.54
20230119:0611,0,0,-1.28
20230119:0711,0,0,-1.56
20230119:0811,30.84,6.29,-1.24
20230119:0911,52.03,11.87,-0.28
20230119:1011,61.67,15.6,0.86
20230119:1111,55.89,17.16,1.98
20230119:1211,80.94,16.4,2.45
20230119:1311,68.42,13.39,2.49
20230119:1411,38.54,8.41,1.91
20230119:1511,0.96,1.84,1.08
20230119:1611,0,0,0.26
20230119:1711,0,0,-0.22
20230119:1811,0,0,-0.46
20230119:1911,0,0,-0.32
20230119:2011,0,0,-0.41
20230119:2111,0,0,-0.41
20230119:2211,0,0,-0.49
20230119:2311,0,0,-0.63
20230120:0011,0,0,-0.75
20230120:0111,0,0,-0.74
20230120:0211,0,0,-0.93
20230120:0311,0,0,-1.26
20230120:0411,0,0,-1.34
20230120:0511,0,0,-1.67
20230120:0611,0,0,-2.11
20230120:0711,0,0,-2.28
20230120:0811,36.62,6.45,-2.16
20230120:0911,85.76,12.04,-0.48
20230120:1011,111.78,15.8,1
20230120:1111,59.74,17.37,2.02
20230120:1211,85.76,16.62,2.37
20230120:1311,97.32,13.61,2.76
20230120:1411,59.74,8.63,2.79
20230120:1511,1.93,2.06,2.25
20230120:1611,0,0,0.96
20230120:1711,0,0,-0.47
20230120:1811,0,0,-0.79
20230120:1911,0,0,-1.12
20230120:2011,0,0,-1.1
20230120:2111,0,0,-0.89
20230120:2211,0,0,-0.81
20230120:2311,0,0,-0.77
20230121:0011,0,0,-0.62
20230121:0111,0,0,-0.54
20230121:0211,0,0,-0.47
20230121:0311,0,0,-0.4
20230121:0411,0,0,-0.26
20230121:0511,0,0,-0.08
20230121:0611,0,0,0.03
20230121:0711,0,0,-0.06
20230121:0811,40.47,6.61,0.13
20230121:0911,89.62,12.23,0.57
20230121:1011,123.34,16,1.27
20230121:1111,137.8,17.59,1.82
20230121:1211,116.6,16.85,2.41
20230121:1311,97.32,13.84,2.56
20230121:1411,54.93,8.86,2.54
20230121:1511,1.93,2.29,2.3
20230121:1611,0,0,1.93
20230121:1711,0,0,1.56
20230121:1811,0,0,1.35
20230121:1911,0,0,1.12
20230121:2011,0,0,1.2
20230121:2111,0,0,1.22
20230121:2211,0,0,1.19
20230121:2311,0,0,1.1
20230122:0011,0,0,1.01
20230122:0111,0,0,0.97
20230122:0211,0,0,0.97
20230122:0311,0,0,0.85
20230122:0411,0,0,0.75
20230122:0511,0,0,0.69
20230122:0611,0,0,0.67
