Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,15.2
20230101:0110,0,0,14.99
20230101:0210,0,0,14.75
20230101:0310,0,0,14.51
20230101:0410,0,0,14.19
20230101:0510,0,0,14.09
20230101:0610,0,0,13.87
20230101:0710,0,0,13.88
20230101:0810,30.84,5.01,13.55
20230101:0910,73.23,10.37,13.82
20230101:1010,98.29,13.85,14.18
20230101:1110,71.31,15.17,14.61
20230101:1210,95.4,14.19,14.69
20230101:1310,46.25,11,14.55
20230101:1410,21.2,5.89,14.25
20230101:1510,0,0,13.42
20230101:1610,0,0,12.8
20230101:1710,0,0,12.32
20230101:1810,0,0,11.98
20230101:1910,0,0,12.36
20230101:2010,0,0,12.18
20230101:2110,0,0,12
20230101:2210,0,0,11.68
20230101:2310,0,0,11.65
20230102:0010,0,0,12.06
20230102:0110,0,0,12.37
20230102:0210,0,0,12.56
20230102:0310,0,0,12.74
20230102:0410,0,0,12.62
20230102:0510,0,0,12.54
20230102:0610,0,0,12.32
20230102:0710,0,0,13.34
20230102:0810,5.78,5.04,13.37
20230102:0910,55.89,10.42,13.29
20230102:1010,33.73,13.92,13.87
20230102:1110,97.32,15.25,14.49
20230102:1210,38.54,14.29,13.71
20230102:1310,29.87,11.12,13.39
20230102:1410,22.16,6.02,13.27
20230102:1510,0,0,12.86
20230102:1610,0,0,11.96
20230102:1710,0,0,11.39
20230102:1810,0,0,11.08
20230102:1910,0,0,10.06
20230102:2010,0,0,9.84
20230102:2110,0,0,9.32
20230102:2210,0,0,9.15
20230102:2310,0,0,8.76
20230103:0010,0,0,8.28
20230103:0110,0,0,7.97
20230103:0210,0,0,7.71
20230103:0310,0,0,7.68
20230103:0410,0,0,7.67
20230103:0510,0,0,7.65
20230103:0610,0,0,7.42
20230103:0710,0,0,6.99
20230103:0810,26.02,5.08,7.1
20230103:0910,53.96,10.47,7.24
20230103:1010,51.07,13.99,7.35
20230103:1110,55.89,15.34,7.77
20230103:1210,52.03,14.39,7.79
20230103:1310,53,11.24,7.81
20230103:1410,36.62,6.14,7.7
20230103:1510,0,0,7.37
20230103:1610,0,0,6.52
20230103:1710,0,0,6.19
20230103:1810,0,0,6.05
20230103:1910,0,0,6.06
20230103:2010,0,0,5.81
20230103:2110,0,0,5.35
20230103:2210,0,0,5.06
20230103:2310,0,0,4.87
20230104:0010,0,0,4.74
20230104:0110,0,0,4.76
20230104:0210,0,0,4.91
20230104:0310,0,0,5.33
20230104:0410,0,0,5.93
20230104:0510,0,0,6.19
20230104:0610,0,0,6.68
20230104:0710,0,0,6.61
20230104:0810,16.38,5.12,6.59
20230104:0910,51.07,10.54,7.02
20230104:1010,64.56,14.08,7.71
20230104:1110,39.51,15.44,8.28
20230104:1210,73.23,14.51,8.87
20230104:1310,58.78,11.36,9.27
20230104:1410,37.58,6.28,9.67
20230104:1510,0,0,10.08
20230104:1610,0,0,10.46
20230104:1710,0,0,10.77
20230104:1810,0,0,11.07
20230104:1910,0,0,10.78
20230104:2010,0,0,11.01
20230104:2110,0,0,10.99
20230104:2210,0,0,10.87
20230104:2310,0,0,10.58
20230105:0010,0,0,10.38
20230105:0110,0,0,10.27
20230105:0210,0,0,9.98
20230105:0310,0,0,9.67
20230105:0410,0,0,9.47
20230105:0510,0,0,9.32
20230105:0610,0,0,9.42
20230105:0710,0,0,9.15
20230105:0810,26.98,5.18,9.24
20230105:0910,52.03,10.61,9.37
20230105:1010,26.98,14.16,9.21
20230105:1110,103.11,15.55,9.56
20230105:1210,76.13,14.63,9.65
20230105:1310,76.13,11.5,9.55
20230105:1410,32.76,6.42,9.29
20230105:1510,0,0,8.71
20230105:1610,0,0,8.19
20230105:1710,0,0,7.86
20230105:1810,0,0,7.61
20230105:1910,0,0,7.9
20230105:2010,0,0,7.74
20230105:2110,0,0,7.27
20230105:2210,0,0,6.78
20230105:2310,0,0,7.04
20230106:0010,0,0,7
20230106:0110,0,0,7.23
20230106:0210,0,0,7.42
20230106:0310,0,0,7.64
20230106:0410,0,0,7.84
20230106:0510,0,0,8.01
20230106:0610,0,0,8.12
20230106:0710,0,0,8.56
20230106:0810,16.38,5.24,8.9
20230106:0910,53,10.68,9.37
20230106:1010,61.67,14.26,9.96
20230106:1110,74.2,15.66,10.59
20230106:1210,95.4,14.76,10.78
20230106:1310,84.8,11.64,10.78
20230106:1410,42.4,6.57,10.7
20230106:1510,0,0,10.18
20230106:1610,0,0,9.4
20230106:1710,0,0,8.7
20230106:1810,0,0,8.24
20230106:1910,0,0,9.42
20230106:2010,0,0,8.67
20230106:2110,0,0,8.46
20230106:2210,0,0,8.2
20230106:2310,0,0,8.17
20230107:0010,0,0,8.43
20230107:0110,0,0,8.47
20230107:0210,0,0,8.24
20230107:0310,0,0,8.05
20230107:0410,0,0,7.77
20230107:0510,0,0,7.75
20230107:0610,0,0,7.86
20230107:0710,0,0,7.77
20230107:0810,22.16,5.3,7.71
20230107:0910,75.16,10.77,8.21
20230107:1010,106,14.36,9.05
20230107:1110,64.56,15.79,9.76
20230107:1210,109.85,14.9,10.25
20230107:1310,86.72,11.78,10.47
20230107:1410,30.84,6.72,10.22
20230107:1510,0,0,9.33
20230107:1610,0,0,8.6
20230107:1710,0,0,7.84
20230107:1810,0,0,7.35
20230107:1910,0,0,8.38
20230107:2010,0,0,8.17
20230107:2110,0,0,7.77
20230107:2210,0,0,7.31
20230107:2310,0,0,6.88
20230108:0010,0,0,6.65
20230108:0110,0,0,6.4
20230108:0210,0,0,6.44
20230108:0310,0,0,6.39
20230108:0410,0,0,6.64
20230108:0510,0,0,6.7
20230108:0610,0,0,6.92
20230108:0710,0,0,7.15
20230108:0810,14.45,5.38,7.44
20230108:0910,53.96,10.86,7.4
20230108:1010,69.38,14.48,7.69
20230108:1110,39.51,15.92,8
20230108:1210,77.09,15.04,8.4
20230108:1310,48.18,11.94,9.05
20230108:1410,35.65,6.88,9.09
20230108:1510,0,0,8.66
20230108:1610,0,0,8.27
20230108:1710,0,0,8.02
20230108:1810,0,0,7.84
20230108:1910,0,0,7.02
20230108:2010,0,0,6.62
20230108:2110,0,0,6.29
20230108:2210,0,0,5.95
20230108:2310,0,0,5.68
20230109:0010,0,0,5.39
20230109:0110,0,0,5.41
20230109:0210,0,0,5.65
20230109:0310,0,0,5.84
20230109:0410,0,0,5.91
20230109:0510,0,0,6.04
20230109:0610,0,0,5.87
20230109:0710,0,0,7.04
20230109:0810,33.73,5.46,7.48
20230109:0910,64.56,10.96,7.75
20230109:1010,108.89,14.59,7.9
20230109:1110,101.18,16.05,8.08
20230109:1210,107.92,15.19,8.11
20230109:1310,87.69,12.1,8.04
20230109:1410,38.54,7.04,7.67
20230109:1510,0,0,7.18
20230109:1610,0,0,6.42
20230109:1710,0,0,5.95
20230109:1810,0,0,5.73
20230109:1910,0,0,5.73
20230109:2010,0,0,5.69
20230109:2110,0,0,5.66
20230109:2210,0,0,5.71
20230109:2310,0,0,5.63
20230110:0010,0,0,5.59
20230110:0110,0,0,5.32
20230110:0210,0,0,4.97
20230110:0310,0,0,5.08
20230110:0410,0,0,5.06
20230110:0510,0,0,5.42
20230110:0610,0,0,5.48
20230110:0710,0,0,5.49
20230110:0810,34.69,5.54,5.68
20230110:0910,76.13,11.06,6.02
20230110:1010,80.94,14.72,6.53
20230110:1110,125.27,16.19,6.86
20230110:1210,87.69,15.35,7.3
20230110:1310,64.56,12.26,7.43
20230110:1410,48.18,7.21,7.27
20230110:1510,0,0,7.04
20230110:1610,0,0,6.18
20230110:1710,0,0,5.78
20230110:1810,0,0,5.47
20230110:1910,0,0,5.09
20230110:2010,0,0,4.84
20230110:2110,0,0,4.71
20230110:2210,0,0,4.83
20230110:2310,0,0,5.04
20230111:0010,0,0,5.16
20230111:0110,0,0,5.23
20230111:0210,0,0,5.37
20230111:0310,0,0,5.52
20230111:0410,0,0,6.05
20230111:0510,0,0,6.56
20230111:0610,0,0,7.04
20230111:0710,0,0,6.62
20230111:0810,28.91,5.64,7.33
20230111:0910,33.73,11.18,8
20230111:1010,56.85,14.85,8.59
20230111:1110,69.38,16.34,8.89
20230111:1210,80.94,15.51,9.11
20230111:1310,77.09,12.43,9.29
20230111:1410,32.76,7.39,9.4
20230111:1510,0,0,9.39
20230111:1610,0,0,9.09
20230111:1710,0,0,8.67
20230111:1810,0,0,7.76
20230111:1910,0,0,7.48
20230111:2010,0,0,7.02
20230111:2110,0,0,6.72
20230111:2210,0,0,6.36
20230111:2310,0,0,5.94
20230112:0010,0,0,5.72
20230112:0110,0,0,5.86
20230112:0210,0,0,6.05
20230112:0310,0,0,6.52
20230112:0410,0,0,6.75
20230112:0510,0,0,6.95
20230112:0610,0,0,7.14
20230112:0710,0,0,7.85
20230112:0810,28.91,5.74,8.07
20230112:0910,76.13,11.3,8.45
20230112:1010,100.22,14.99,8.64
20230112:1110,97.32,16.5,8.64
20230112:1210,115.63,15.68,8.71
20230112:1310,90.58,12.61,9.01
20230112:1410,31.8,7.57,9.32
20230112:1510,0,0,9.48
20230112:1610,0,0,9.59
20230112:1710,0,0,9.72
20230112:1810,0,0,9.81
20230112:1910,0,0,9.65
20230112:2010,0,0,9.61
20230112:2110,0,0,9.67
20230112:2210,0,0,9.76
20230112:2310,0,0,9.81
20230113:0010,0,0,9.83
20230113:0110,0,0,9.84
20230113:0210,0,0,9.97
20230113:0310,0,0,10.02
20230113:0410,0,0,9.99
20230113:0510,0,0,9.89
20230113:0610,0,0,9.42
20230113:0710,0,0,9.43
20230113:0810,5.78,5.85,9.08
20230113:0910,74.2,11.43,9.1
20230113:1010,54.93,15.14,9.07
20230113:1110,64.56,16.67,9.12
20230113:1210,119.49,15.86,9.53
20230113:1310,58.78,12.8,9.47
20230113:1410,23.13,7.76,9.15
20230113:1510,0,0,8.5
20230113:1610,0,0,7.8
20230113:1710,0,0,7.48
20230113:1810,0,0,7.53
20230113:1910,0,0,7.14
20230113:2010,0,0,6.97
20230113:2110,0,0,6.85
20230113:2210,0,0,6.7
20230113:2310,0,0,6.82
20230114:0010,0,0,6.86
20230114:0110,0,0,7
20230114:0210,0,0,6.95
20230114:0310,0,0,7
20230114:0410,0,0,7.02
20230114:0510,0,0,6.8
20230114:0610,0,0,6.78
20230114:0710,0,0,6.82
20230114:0810,21.2,5.96,6.42
20230114:0910,83.83,11.56,6.5
20230114:1010,115.63,15.29,6.8
20230114:1110,108.89,16.84,7.19
20230114:1210,41.44,16.04,7.72
20230114:1310,32.76,12.99,7.51
20230114:1410,16.38,7.95,7.36
20230114:1510,0,0,7.16
20230114:1610,0,0,7.3
20230114:1710,0,0,7.6
20230114:1810,0,0,7.84
20230114:1910,0,0,7.99
20230114:2010,0,0,8.35
20230114:2110,0,0,8.61
20230114:2210,0,0,9.03
20230114:2310,0,0,9.59
20230115:0010,0,0,10.01
20230115:0110,0,0,10.32
20230115:0210,0,0,10.5
20230115:0310,0,0,10.13
20230115:0410,0,0,9.51
20230115:0510,0,0,8.09
20230115:0610,0,0,6.83
20230115:0710,0,0,6.49
20230115:0810,33.73,6.09,6.34
20230115:0910,75.16,11.7,6.34
20230115:1010,99.25,15.45,6.65
20230115:1110,112.74,17.02,7.28
20230115:1210,119.49,16.23,7.39
20230115:1310,79.98,13.19,7.18
20230115:1410,40.47,8.15,6.95
20230115:1510,0,0,6.64
20230115:1610,0,0,6.1
20230115:1710,0,0,5.8
20230115:1810,0,0,5.56
20230115:1910,0,0,5.43
20230115:2010,0,0,5.26
20230115:2110,0,0,5.08
20230115:2210,0,0,4.85
20230115:2310,0,0,4.55
20230116:0010,0,0,4.33
20230116:0110,0,0,4.12
20230116:0210,0,0,4.2
20230116:0310,0,0,4.02
20230116:0410,0,0,4.01
20230116:0510,0,0,3.86
20230116:0610,0,0,3.64
20230116:0710,0,0,3.01
20230116:0810,28.91,6.22,3.15
20230116:0910,76.13,11.85,3.98
20230116:1010,64.56,15.62,4.79
20230116:1110,125.27,17.2,5.71
20230116:1210,112.74,16.43,6.4
20230116:1310,95.4,13.39,6.65
20230116:1410,47.22,8.36,6.62
20230116:1510,1.93,1.72,6.29
20230116:1610,0,0,6.11
20230116:1710,0,0,5.91
20230116:1810,0,0,5.69
20230116:1910,0,0,5.24
20230116:2010,0,0,5.31
20230116:2110,0,0,5.68
20230116:2210,0,0,5.57
20230116:2310,0,0,5.48
20230117:0010,0,0,5.16
20230117:0110,0,0,5.01
20230117:0210,0,0,5
20230117:0310,0,0,4.8
20230117:0410,0,0,4.43
20230117:0510,0,0,3.97
20230117:0610,0,0,3.71
20230117:0710,0,0,3.5
20230117:0810,41.44,6.35,3.41
20230117:0910,85.76,12.01,3.45
20230117:1010,115.63,15.8,3.51
20230117:1110,132.01,17.39,3.86
20230117:1210,130.09,16.63,4.24
20230117:1310,78.05,13.6,4.48
20230117:1410,41.44,8.56,4.4
20230117:1510,1.93,1.93,3.79
20230117:1610,0,0,2.93
20230117:1710,0,0,1.86
20230117:1810,0,0,1.36
20230117:1910,0,0,1.44
20230117:2010,0,0,1.22
20230117:2110,0,0,-0.66
20230117:2210,0,0,0.27
20230117:2310,0,0,-0.19
20230118:0010,0,0,-2
20230118:0110,0,0,-2
20230118:0210,0,0,-2
20230118:0310,0,0,-1.82
20230118:0410,0,0,-1.47
20230118:0510,0,0,-1.26
20230118:0610,0,0,-0.88
20230118:0710,0,0,-1.31
20230118:0810,6.75,6.49,-0.96
20230118:0910,31.8,12.17,-0.21
20230118:1010,125.27,15.98,0.42
20230118:1110,137.8,17.59,0.99
20230118:1210,75.16,16.84,1.42
20230118:1310,67.45,13.81,1.72
20230118:1410,61.67,8.78,1.66
20230118:1510,1.93,2.14,1.07
20230118:1610,0,0,0.18
20230118:1710,0,0,-0.59
20230118:1810,0,0,-1.69
20230118:1910,0,0,-2.2
20230118:2010,0,0,-2.84
20230118:2110,0,0,-3.05
20230118:2210,0,0,-3.03
20230118:2310,0,0,-2.91
20230119:0010,0,0,-2.91
20230119:0110,0,0,-2.45
20230119:0210,0,0,-2.06
20230119:0310,0,0,-1.98
20230119:0410,0,0,-1.88
20230119:0510,0,0,-1.77
20230119:0610,0,0,-1.62
20230119:0710,0,0,-1.75
20230119:0810,32.76,6.64,-1.33
20230119:0910,58.78,12.34,-0.1
20230119:1010,58.78,16.17,1.13
20230119:1110,63.6,17.79,2.31
20230119:1210,68.42,17.06,2.75
20230119:1310,104.07,14.03,2.7
20230119:1410,43.36,9,2.16
20230119:1510,2.89,2.35,1.19
20230119:1610,0,0,0.26
20230119:1710,0,0,-0.15
20230119:1810,0,0,-0.49
20230119:1910,0,0,-0.43
20230119:2010,0,0,-0.47
20230119:2110,0,0,-0.65
20230119:2210,0,0,-1.01
20230119:2310,0,0,-1.29
20230120:0010,0,0,-1.33
20230120:0110,0,0,-1.31
20230120:0210,0,0,-1.28
20230120:0310,0,0,-1.57
20230120:0410,0,0,-1.41
20230120:0510,0,0,-1.85
20230120:0610,0,0,-2.35
20230120:0710,0,0,-1.63
20230120:0810,29.87,6.8,-1.17
20230120:0910,53,12.51,0.51
20230120:1010,114.67,16.36,1.51
20230120:1110,131.65,18.01,2.4
20230120:1210,135.87,17.28,2.64
20230120:1310,98.29,14.26,2.92
20230120:1410,54.93,9.22,2.8
20230120:1510,7.71,2.57,2.38
20230120:1610,0,0,1.42
20230120:1710,0,0,0.46
20230120:1810,0,0,0.08
20230120:1910,0,0,-1.1
20230120:2010,0,0,-1.4
20230120:2110,0,0,-1.44
20230120:2210,0,0,-1.2
20230120:2310,0,0,-0.9
20230121:0010,0,0,-0.77
20230121:0110,0,0,-0.67
20230121:0210,0,0,-0.7
20230121:0310,0,0,-0.74
20230121:0410,0,0,-0.84
20230121:0510,0,0,-0.78
20230121:0610,0,0,-0.64
20230121:0710,0,0,-0.76
20230121:0810,41.44,6.96,-0.47
20230121:0910,71.31,12.69,-0.09
20230121:1010,115.63,16.56,0.49
20230121:1110,135.03,18.22,1.11
20230121:1210,134.91,17.51,1.56
20230121:1310,101.18,14.49,1.62
20230121:1410,45.29,9.45,1.74
20230121:1510,4.82,2.8,1.55
20230121:1610,0,0,1.31
20230121:1710,0,0,1.15
20230121:1810,0,0,1.01
20230121:1910,0,0,0.6
20230121:2010,0,0,0.67
20230121:2110,0,0,0.81
20230121:2210,0,0,0.88
20230121:2310,0,0,0.86
20230122:0010,0,0,0.82
20230122:0110,0,0,0.76
20230122:0210,0,0,0.73
20230122:0310,0,0,0.71
20230122:0410,0,0,0.68
20230122:0510,0,0,0.65
20230122:0610,0,0,0.62
20230122:0710,0,0,0.47
20230122:0810,7.71,7.13,0.57
20230122:0910,50.11,12.88,0.98
20230122:1010,53,16.77,1.34
20230122:1110,83.32,18.45,1.72
20230122:1210,52.93,17.74,1.85
20230122:1310,46.25,14.72,1.94
20230122:1410,31.8,9.68,1.88
20230122:1510,2.89,3.03,1.62
20230122:1610,0,0,1.44
20230122:1710,0,0,1.31
20230122:1810,0,0,1.19
20230122:1910,0,0,0.9
20230122:2010,0,0,0.77
20230122:2110,0,0,0.81
20230122:2210,0,0,0.79
20230122:2310,0,0,0.76
20230123:0010,0,0,0.74
20230123:0110,0,0,0.71
20230123:0210,0,0,0.8
20230123:0310,0,0,0.81
20230123:0410,0,0,0.76
20230123:0510,0,0,0.82
20230123:0610,0,0,0.82
20230123:0710,0,0,0.84
20230123:0810,45.29,7.31,0.9
20230123:0910,54.93,13.08,1.22
20230123:1010,57.82,16.98,1.51
20230123:1110,60.78,18.68,1.83
20230123:1210,65.68,17.98,2.17
20230123:1310,54.93,14.96,2.32
20230123:1410,37.58,9.92,2.4
20230123:1510,3.85,3.26,2.41
20230123:1610,0,0,2.17
20230123:1710,0,0,1.99
20230123:1810,0,0,1.81
20230123:1910,0,0,1.49
20230123:2010,0,0,1.4
20230123:2110,0,0,1.22
20230123:2210,0,0,0.89
20230123:2310,0,0,0.84
20230124:0010,0,0,0.67
20230124:0110,0,0,0.61
20230124:0210,0,0,0.55
20230124:0310,0,0,0.46
20230124:0410,0,0,0.04
20230124:0510,0,0,0.08
20230124:0610,0,0,0.1
20230124:0710,0,0,0.06
20230124:0810,44.33,7.49,-0.1
20230124:0910,60.71,13.28,0.62
20230124:1010,55.87,17.21,1.32
20230124:1110,57.83,18.91,1.96
20230124:1210,74.5,18.22,2.48
20230124:1310,66.49,15.21,2.39
20230124:1410,41.44,10.16,2.61
