Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,13.59
20230101:0110,0,0,13.99
20230101:0210,0,0,13.92
20230101:0310,0,0,13.29
20230101:0410,0,0,12.83
20230101:0510,0,0,12.45
20230101:0610,0,0,12.08
20230101:0710,0,0,11.87
20230101:0810,41.44,6.62,11.77
20230101:0910,85.76,11.73,12.27
20230101:1010,112.74,14.87,12.92
20230101:1110,119.49,15.77,13.64
20230101:1210,99.25,14.33,14.07
20230101:1310,76.13,10.71,14.19
20230101:1410,29.87,5.2,13.89
20230101:1510,0,0,13.03
20230101:1610,0,0,12.39
20230101:1710,0,0,11.78
20230101:1810,0,0,11.32
20230101:1910,0,0,11.37
20230101:2010,0,0,10.96
20230101:2110,0,0,10.89
20230101:2210,0,0,10.51
20230101:2310,0,0,9.91
20230102:0010,0,0,9.65
20230102:0110,0,0,9.35
20230102:0210,0,0,9.38
20230102:0310,0,0,9.3
20230102:0410,0,0,9.05
20230102:0510,0,0,8.87
20230102:0610,0,0,8.91
20230102:0710,0,0,8.89
20230102:0810,39.51,6.65,8.94
20230102:0910,54.93,11.78,9.23
20230102:1010,98.29,14.94,9.85
20230102:1110,119.49,15.85,10.56
20230102:1210,108.89,14.44,11.06
20230102:1310,66.49,10.82,11.41
20230102:1410,25.05,5.32,11.26
20230102:1510,0,0,10.42
20230102:1610,0,0,9.9
20230102:1710,0,0,9.77
20230102:1810,0,0,9.57
20230102:1910,0,0,9.23
20230102:2010,0,0,9.81
20230102:2110,0,0,9.85
20230102:2210,0,0,9.93
20230102:2310,0,0,9.58
20230103:0010,0,0,9.27
20230103:0110,0,0,8.87
20230103:0210,0,0,8.08
20230103:0310,0,0,7.32
20230103:0410,0,0,6.78
20230103:0510,0,0,6.57
20230103:0610,0,0,6.39
20230103:0710,0,0,5.83
20230103:0810,29.87,6.69,5.95
20230103:0910,68.42,11.83,6.39
20230103:1010,115.63,15.01,6.68
20230103:1110,124.31,15.95,6.75
20230103:1210,92.51,14.55,6.65
20230103:1310,53.96,10.94,6.6
20230103:1410,25.05,5.45,6.26
20230103:1510,0,0,5.83
20230103:1610,0,0,5.64
20230103:1710,0,0,5.45
20230103:1810,0,0,4.85
20230103:1910,0,0,3.86
20230103:2010,0,0,3.66
20230103:2110,0,0,3.41
20230103:2210,0,0,3.29
20230103:2310,0,0,3.31
20230104:0010,0,0,3.06
20230104:0110,0,0,2.86
20230104:0210,0,0,2.74
20230104:0310,0,0,2.57
20230104:0410,0,0,2.77
20230104:0510,0,0,2.82
20230104:0610,0,0,2.95
20230104:0710,0,0,3.25
20230104:0810,44.33,6.74,3.73
20230104:0910,73.23,11.9,4.34
20230104:1010,35.65,15.1,4.9
20230104:1110,56.85,16.05,4.94
20230104:1210,41.44,14.67,5.3
20230104:1310,51.07,11.07,6.13
20230104:1410,8.67,5.58,6.84
20230104:1510,0,0,7.24
20230104:1610,0,0,7.29
20230104:1710,0,0,7.69
20230104:1810,0,0,8.29
20230104:1910,0,0,8.46
20230104:2010,0,0,8.93
20230104:2110,0,0,9.27
20230104:2210,0,0,9.39
20230104:2310,0,0,9.63
20230105:0010,0,0,9.62
20230105:0110,0,0,9.38
20230105:0210,0,0,8.79
20230105:0310,0,0,8.33
20230105:0410,0,0,8.1
20230105:0510,0,0,7.72
20230105:0610,0,0,7.45
20230105:0710,0,0,7.81
20230105:0810,38.54,6.79,7.88
20230105:0910,88.65,11.97,7.83
20230105:1010,107.92,15.19,7.85
20230105:1110,125.27,16.16,7.97
20230105:1210,25.05,14.79,7.74
20230105:1310,70.34,11.21,7.5
20230105:1410,27.94,5.73,7.5
20230105:1510,0,0,7.23
20230105:1610,0,0,6.8
20230105:1710,0,0,6.63
20230105:1810,0,0,6.5
20230105:1910,0,0,6.29
20230105:2010,0,0,6.26
20230105:2110,0,0,5.89
20230105:2210,0,0,5.66
20230105:2310,0,0,5.27
20230106:0010,0,0,5.07
20230106:0110,0,0,4.71
20230106:0210,0,0,4.59
20230106:0310,0,0,4.3
20230106:0410,0,0,4.56
20230106:0510,0,0,4.89
20230106:0610,0,0,5.22
20230106:0710,0,0,5.29
20230106:0810,35.65,6.85,5.76
20230106:0910,52.03,12.05,6.48
20230106:1010,113.71,15.29,7.28
20230106:1110,49.14,16.28,8.08
20230106:1210,96.36,14.92,8.53
20230106:1310,42.4,11.35,8.95
20230106:1410,18.31,5.87,9.13
20230106:1510,0,0,8.82
20230106:1610,0,0,8.6
20230106:1710,0,0,8.48
20230106:1810,0,0,8.09
20230106:1910,0,0,8.54
20230106:2010,0,0,8.43
20230106:2110,0,0,8.21
20230106:2210,0,0,7.93
20230106:2310,0,0,7.55
20230107:0010,0,0,7.16
20230107:0110,0,0,6.9
20230107:0210,0,0,6.81
20230107:0310,0,0,6.63
20230107:0410,0,0,6.57
20230107:0510,0,0,6.5
20230107:0610,0,0,6.48
20230107:0710,0,0,6.19
20230107:0810,34.69,6.92,6.43
20230107:0910,55.89,12.14,6.98
20230107:1010,117.56,15.4,7.65
20230107:1110,70.34,16.4,8.41
20230107:1210,57.82,15.06,8.91
20230107:1310,60.71,11.5,9.07
20230107:1410,30.84,6.03,8.57
20230107:1510,0,0,7.55
20230107:1610,0,0,6.55
20230107:1710,0,0,5.85
20230107:1810,0,0,5.45
20230107:1910,0,0,5.2
20230107:2010,0,0,5.09
20230107:2110,0,0,4.93
20230107:2210,0,0,4.86
20230107:2310,0,0,4.72
20230108:0010,0,0,4.58
20230108:0110,0,0,4.5
20230108:0210,0,0,4.29
20230108:0310,0,0,4.12
20230108:0410,0,0,3.96
20230108:0510,0,0,3.85
20230108:0610,0,0,3.78
20230108:0710,0,0,3.9
20230108:0810,40.47,7,4.03
20230108:0910,67.45,12.23,4.48
20230108:1010,107.92,15.51,5.07
20230108:1110,99.25,16.54,5.79
20230108:1210,84.8,15.21,6.16
20230108:1310,23.13,11.65,6.34
20230108:1410,35.65,6.19,6.39
20230108:1510,0,0,6.02
20230108:1610,0,0,5.69
20230108:1710,0,0,5.6
20230108:1810,0,0,5.57
20230108:1910,0,0,4.8
20230108:2010,0,0,4.22
20230108:2110,0,0,3.66
20230108:2210,0,0,3.36
20230108:2310,0,0,3.24
20230109:0010,0,0,3.33
20230109:0110,0,0,3.4
20230109:0210,0,0,3.52
20230109:0310,0,0,3.59
20230109:0410,0,0,3.68
20230109:0510,0,0,3.61
20230109:0610,0,0,3.71
20230109:0710,0,0,3.42
20230109:0810,44.33,7.08,3.44
20230109:0910,87.69,12.34,3.62
20230109:1010,106,15.63,4.15
20230109:1110,108.89,16.68,5.01
20230109:1210,102.14,15.36,5.64
20230109:1310,85.76,11.81,6.18
20230109:1410,39.51,6.35,6.29
20230109:1510,0,0,5.91
20230109:1610,0,0,5.42
20230109:1710,0,0,4.51
20230109:1810,0,0,3.49
20230109:1910,0,0,2.99
20230109:2010,0,0,2.71
20230109:2110,0,0,2.56
20230109:2210,0,0,2.56
20230109:2310,0,0,2.92
20230110:0010,0,0,3.36
20230110:0110,0,0,3.68
20230110:0210,0,0,4.05
20230110:0310,0,0,4.29
20230110:0410,0,0,4.39
20230110:0510,0,0,4.46
20230110:0610,0,0,4.45
20230110:0710,0,0,3.92
20230110:0810,49.14,7.17,4
20230110:0910,88.65,12.45,4.1
20230110:1010,111.78,15.76,4.23
20230110:1110,51.07,16.82,4.36
20230110:1210,36.62,15.52,4.62
20230110:1310,78.05,11.98,4.95
20230110:1410,29.87,6.53,4.98
20230110:1510,0,0,4.75
20230110:1610,0,0,4.14
20230110:1710,0,0,3.74
20230110:1810,0,0,3.12
20230110:1910,0,0,2.67
20230110:2010,0,0,1.65
20230110:2110,0,0,1.3
20230110:2210,0,0,1.13
20230110:2310,0,0,0.83
20230111:0010,0,0,0.64
20230111:0110,0,0,0.64
20230111:0210,0,0,0.61
20230111:0310,0,0,0.66
20230111:0410,0,0,0.84
20230111:0510,0,0,1.18
20230111:0610,0,0,1.86
20230111:0710,0,0,2.95
20230111:0810,47.22,7.27,3.46
20230111:0910,47.22,12.56,4
20230111:1010,70.34,15.9,4.56
20230111:1110,87.69,16.97,5.09
20230111:1210,66.49,15.68,5.57
20230111:1310,54.93,12.16,6.11
20230111:1410,26.02,6.7,6.4
20230111:1510,0,0,6.58
