Time,solar_irradiance,temp,hour_sun
20230101:0011,0,0,14.62
20230101:0111,0,0,14.84
20230101:0211,0,0,15.3
20230101:0311,0,0,15.63
20230101:0411,0,0,15.48
20230101:0511,0,0,15.38
20230101:0611,0,0,14.95
20230101:0711,0,0,15.67
20230101:0811,20.24,4.16,15.15
20230101:0911,63.6,9.1,14.93
20230101:1011,65.53,12.22,15.05
20230101:1111,98.29,13.25,14.93
20230101:1211,87.69,12.1,14.83
20230101:1311,53.96,8.88,14.39
20230101:1411,19.27,3.85,13.82
20230101:1511,0,0,13.15
20230101:1611,0,0,12.73
20230101:1711,0,0,12.26
20230101:1811,0,0,11.55
20230101:1911,0,0,11.21
20230101:2011,0,0,11
20230101:2111,0,0,10.79
20230101:2211,0,0,10.69
20230101:2311,0,0,10.65
20230102:0011,0,0,10.13
20230102:0111,0,0,9.96
20230102:0211,0,0,9.87
20230102:0311,0,0,9.91
20230102:0411,0,0,10.02
20230102:0511,0,0,10.27
20230102:0611,0,0,10.55
20230102:0711,0,0,10.93
20230102:0811,21.2,4.19,11.26
20230102:0911,61.67,9.15,11.75
20230102:1011,63.6,12.29,12.36
20230102:1111,97.32,13.34,12.81
20230102:1211,88.65,12.2,13.2
20230102:1311,15.42,8.99,13.16
20230102:1411,3.85,3.97,12.71
20230102:1511,0,0,12.17
20230102:1611,0,0,11.18
20230102:1711,0,0,10.02
20230102:1811,0,0,9.25
20230102:1911,0,0,8.59
20230102:2011,0,0,8.31
20230102:2111,0,0,8.24
20230102:2211,0,0,8.31
20230102:2311,0,0,8.29
20230103:0011,0,0,7.81
20230103:0111,0,0,7.3
20230103:0211,0,0,6.67
20230103:0311,0,0,6.15
20230103:0411,0,0,5.53
20230103:0511,0,0,5.2
20230103:0611,0,0,4.93
20230103:0711,0,0,4.92
20230103:0811,20.24,4.23,4.86
20230103:0911,43.36,9.21,5.08
20230103:1011,54.93,12.37,5.27
20230103:1111,53.96,13.43,5.59
20230103:1211,63.6,12.31,5.7
20230103:1311,62.63,9.11,5.6
20230103:1411,21.2,4.09,5.1
