Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,15.31
20230101:0110,0,0,15.2
20230101:0210,0,0,14.75
20230101:0310,0,0,14.4
20230101:0410,0,0,14.11
20230101:0510,0,0,13.75
20230101:0610,0,0,13.56
20230101:0710,0,0,13.78
20230101:0810,35.65,5.76,13.86
20230101:0910,76.13,10.94,14.02
20230101:1010,102.14,14.19,14.44
20230101:1110,107.92,15.25,14.81
20230101:1210,99.25,14.01,15.1
20230101:1310,48.18,10.58,15.01
20230101:1410,22.16,5.27,14.69
20230101:1510,0,0,14.03
20230101:1610,0,0,13.36
20230101:1710,0,0,12.75
20230101:1810,0,0,12.28
20230101:1910,0,0,12.17
20230101:2010,0,0,12.34
20230101:2110,0,0,12.22
20230101:2210,0,0,12.08
20230101:2310,0,0,11.59
20230102:0010,0,0,11.4
20230102:0110,0,0,11.6
20230102:0210,0,0,11.18
20230102:0310,0,0,11.35
20230102:0410,0,0,11.57
20230102:0510,0,0,11.66
20230102:0610,0,0,11.46
20230102:0710,0,0,12.19
20230102:0810,23.13,5.8,11.98
20230102:0910,73.23,10.99,12.28
20230102:1010,106,14.26,13
20230102:1110,61.67,15.34,13.64
20230102:1210,96.36,14.11,14.77
20230102:1310,47.22,10.7,14.97
20230102:1410,23.13,5.39,14.44
20230102:1510,0,0,13.61
20230102:1610,0,0,12.93
20230102:1710,0,0,12.55
20230102:1810,0,0,11.98
20230102:1910,0,0,11.5
20230102:2010,0,0,10.93
20230102:2110,0,0,10.18
20230102:2210,0,0,9.88
20230102:2310,0,0,9.56
20230103:0010,0,0,8.93
20230103:0110,0,0,8.32
20230103:0210,0,0,7.95
20230103:0310,0,0,7.51
20230103:0410,0,0,7.3
20230103:0510,0,0,7.16
20230103:0610,0,0,6.93
20230103:0710,0,0,6.11
20230103:0810,26.98,5.84,6.24
20230103:0910,73.23,11.04,6.68
20230103:1010,59.74,14.34,6.87
20230103:1110,112.74,15.43,7.02
20230103:1210,106.96,14.22,7.18
20230103:1310,78.05,10.82,7.29
20230103:1410,33.73,5.52,7
20230103:1510,0,0,6.68
20230103:1610,0,0,6.19
20230103:1710,0,0,5.71
20230103:1810,0,0,5.27
20230103:1910,0,0,4.92
20230103:2010,0,0,5.27
20230103:2110,0,0,5.37
20230103:2210,0,0,5.24
20230103:2310,0,0,4.77
20230104:0010,0,0,4.26
20230104:0110,0,0,3.97
20230104:0210,0,0,3.83
20230104:0310,0,0,3.78
20230104:0410,0,0,3.87
20230104:0510,0,0,4.05
20230104:0610,0,0,4.46
20230104:0710,0,0,5.46
20230104:0810,9.64,5.88,6.01
20230104:0910,65.53,11.11,6.25
20230104:1010,35.65,14.42,6.6
20230104:1110,58.78,15.53,7.09
20230104:1210,44.33,14.34,7.62
20230104:1310,38.54,10.94,8.22
20230104:1410,30.84,5.65,8.62
20230104:1510,0,0,8.77
20230104:1610,0,0,9.21
20230104:1710,0,0,9.69
20230104:1810,0,0,10.08
20230104:1910,0,0,9.76
20230104:2010,0,0,9.97
20230104:2110,0,0,10.08
20230104:2210,0,0,10
20230104:2310,0,0,10.16
20230105:0010,0,0,9.96
20230105:0110,0,0,9.32
20230105:0210,0,0,9.15
20230105:0310,0,0,9.05
20230105:0410,0,0,8.74
20230105:0510,0,0,8.32
20230105:0610,0,0,8.31
20230105:0710,0,0,8.73
20230105:0810,31.8,5.94,8.31
20230105:0910,61.67,11.18,8.5
20230105:1010,39.51,14.51,8.75
20230105:1110,119.49,15.64,8.51
20230105:1210,66.49,14.46,8.81
20230105:1310,52.03,11.08,8.73
20230105:1410,31.8,5.79,8.54
20230105:1510,0,0,8.15
20230105:1610,0,0,7.68
20230105:1710,0,0,7.47
20230105:1810,0,0,7.08
20230105:1910,0,0,7.16
20230105:2010,0,0,6.93
20230105:2110,0,0,6.69
20230105:2210,0,0,6.53
20230105:2310,0,0,5.81
20230106:0010,0,0,5.86
20230106:0110,0,0,5.47
20230106:0210,0,0,5.43
20230106:0310,0,0,5.56
20230106:0410,0,0,5.78
20230106:0510,0,0,6.04
20230106:0610,0,0,6.34
20230106:0710,0,0,6.68
20230106:0810,25.05,6,7.06
20230106:0910,29.87,11.26,7.6
20230106:1010,75.16,14.61,8.46
20230106:1110,70.34,15.76,9.57
20230106:1210,36.62,14.59,10.03
20230106:1310,80.94,11.22,10.1
20230106:1410,7.71,5.94,9.94
20230106:1510,0,0,9.7
20230106:1610,0,0,9.34
20230106:1710,0,0,8.59
20230106:1810,0,0,8.37
20230106:1910,0,0,9.11
20230106:2010,0,0,8.97
20230106:2110,0,0,8.38
20230106:2210,0,0,8.12
20230106:2310,0,0,7.94
20230107:0010,0,0,7.82
20230107:0110,0,0,7.53
20230107:0210,0,0,7.34
20230107:0310,0,0,6.81
20230107:0410,0,0,6.63
20230107:0510,0,0,6.46
20230107:0610,0,0,6.46
20230107:0710,0,0,6.97
20230107:0810,34.69,6.07,7.09
20230107:0910,79.02,11.35,7.84
20230107:1010,68.42,14.72,8.59
20230107:1110,60.71,15.88,9.35
20230107:1210,56.85,14.73,10.02
20230107:1310,63.6,11.37,10.16
20230107:1410,38.54,6.1,9.6
20230107:1510,0,0,8.58
20230107:1610,0,0,7.71
20230107:1710,0,0,7.08
20230107:1810,0,0,6.81
20230107:1910,0,0,7
20230107:2010,0,0,6.57
20230107:2110,0,0,6.32
20230107:2210,0,0,6.19
20230107:2310,0,0,5.93
20230108:0010,0,0,5.75
20230108:0110,0,0,5.61
20230108:0210,0,0,5.37
20230108:0310,0,0,5.23
20230108:0410,0,0,5.15
20230108:0510,0,0,5.15
20230108:0610,0,0,5.09
20230108:0710,0,0,5.57
20230108:0810,17.34,6.14,5.87
20230108:0910,81.91,11.44,6.45
20230108:1010,93.47,14.83,6.91
20230108:1110,112.74,16.01,7.54
20230108:1210,95.4,14.87,7.83
20230108:1310,77.09,11.52,8.27
20230108:1410,27.94,6.26,8.58
20230108:1510,0,0,8.26
20230108:1610,0,0,7.93
20230108:1710,0,0,7.69
20230108:1810,0,0,7.26
20230108:1910,0,0,6.01
20230108:2010,0,0,5.54
20230108:2110,0,0,5.02
20230108:2210,0,0,4.69
20230108:2310,0,0,4.63
20230109:0010,0,0,4.42
20230109:0110,0,0,4.33
20230109:0210,0,0,4.42
20230109:0310,0,0,4.65
20230109:0410,0,0,4.8
20230109:0510,0,0,4.88
20230109:0610,0,0,4.9
20230109:0710,0,0,4.56
20230109:0810,39.51,6.22,4.7
20230109:0910,80.94,11.54,5.19
20230109:1010,110.82,14.95,6.36
20230109:1110,123.34,16.15,7.43
20230109:1210,107.92,15.02,7.71
20230109:1310,69.38,11.68,7.64
20230109:1410,40.47,6.42,7.25
20230109:1510,0,0,6.69
20230109:1610,0,0,5.97
20230109:1710,0,0,5.11
20230109:1810,0,0,4.62
20230109:1910,0,0,4.68
20230109:2010,0,0,4.54
20230109:2110,0,0,4.37
20230109:2210,0,0,4.26
20230109:2310,0,0,4.53
20230110:0010,0,0,4.94
20230110:0110,0,0,5.54
20230110:0210,0,0,5.64
20230110:0310,0,0,5.56
20230110:0410,0,0,5.36
20230110:0510,0,0,5.1
20230110:0610,0,0,5.1
20230110:0710,0,0,4.7
20230110:0810,40.47,6.31,4.84
20230110:0910,78.05,11.65,5.16
20230110:1010,113.71,15.08,5.66
20230110:1110,121.41,16.29,6.07
20230110:1210,113.71,15.18,6.44
20230110:1310,74.2,11.85,6.61
20230110:1410,42.4,6.59,6.54
20230110:1510,0,0,6.11
20230110:1610,0,0,5.47
20230110:1710,0,0,5.15
20230110:1810,0,0,4.92
20230110:1910,0,0,4.12
20230110:2010,0,0,3.91
20230110:2110,0,0,3.6
20230110:2210,0,0,3.13
20230110:2310,0,0,2.86
20230111:0010,0,0,2.65
20230111:0110,0,0,2.5
20230111:0210,0,0,2.54
20230111:0310,0,0,2.87
20230111:0410,0,0,3.61
20230111:0510,0,0,4.42
20230111:0610,0,0,5.18
20230111:0710,0,0,5.65
20230111:0810,17.34,6.41,6.17
20230111:0910,44.33,11.77,6.82
20230111:1010,45.29,15.21,7.74
20230111:1110,79.02,16.45,8.36
20230111:1210,44.33,15.35,8.81
20230111:1310,52.03,12.02,9.19
20230111:1410,37.58,6.77,9.33
20230111:1510,0,0,9.11
20230111:1610,0,0,9.16
20230111:1710,0,0,9.11
20230111:1810,0,0,8.94
20230111:1910,0,0,8.06
20230111:2010,0,0,7.82
20230111:2110,0,0,7.44
20230111:2210,0,0,6.93
20230111:2310,0,0,6.46
20230112:0010,0,0,5.87
20230112:0110,0,0,5.55
20230112:0210,0,0,5.47
20230112:0310,0,0,5.55
20230112:0410,0,0,5.75
20230112:0510,0,0,6.24
20230112:0610,0,0,6.48
20230112:0710,0,0,6.48
