Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,14.69
20230101:0110,0,0,14.34
20230101:0210,0,0,13.98
20230101:0310,0,0,13.71
20230101:0410,0,0,13.39
20230101:0510,0,0,13.17
20230101:0610,0,0,12.94
20230101:0710,0,0,12.86
20230101:0810,28.91,5.75,12.73
20230101:0910,70.34,11.16,13.1
20230101:1010,108.89,14.65,13.81
20230101:1110,111.78,15.93,14.48
20230101:1210,111.78,14.86,14.82
20230101:1310,81.91,11.55,14.79
20230101:1410,38.54,6.3,14.42
20230101:1510,0,0,13.7
20230101:1610,0,0,13.06
20230101:1710,0,0,12.46
20230101:1810,0,0,12.3
20230101:1910,0,0,12.68
20230101:2010,0,0,12.59
20230101:2110,0,0,12.31
20230101:2210,0,0,11.97
20230101:2310,0,0,11.84
20230102:0010,0,0,12.34
20230102:0110,0,0,12.6
20230102:0210,0,0,12.62
20230102:0310,0,0,12.46
20230102:0410,0,0,12.33
20230102:0510,0,0,12.18
20230102:0610,0,0,11.98
20230102:0710,0,0,12.21
20230102:0810,35.65,5.78,12.37
20230102:0910,81.91,11.21,12.89
20230102:1010,107.92,14.72,13.64
20230102:1110,121.41,16.01,14.37
20230102:1210,97.32,14.96,14.47
20230102:1310,54.93,11.66,14.13
20230102:1410,14.45,6.42,13.61
20230102:1510,0,0,12.89
20230102:1610,0,0,12.31
20230102:1710,0,0,12.1
20230102:1810,0,0,11.76
20230102:1910,0,0,11.25
20230102:2010,0,0,10.77
20230102:2110,0,0,10
20230102:2210,0,0,9.56
20230102:2310,0,0,9.09
20230103:0010,0,0,8.31
20230103:0110,0,0,7.56
20230103:0210,0,0,6.95
20230103:0310,0,0,6.75
20230103:0410,0,0,6.66
20230103:0510,0,0,6.5
20230103:0610,0,0,6.17
20230103:0710,0,0,5.46
20230103:0810,31.8,5.82,5.66
20230103:0910,47.22,11.26,6.27
20230103:1010,104.07,14.79,6.67
20230103:1110,57.82,16.1,7.05
20230103:1210,108.89,15.07,7.39
20230103:1310,54.93,11.79,7.67
20230103:1410,27.94,6.55,7.66
20230103:1510,0,0,7.24
20230103:1610,0,0,6.42
20230103:1710,0,0,5.68
20230103:1810,0,0,5.41
20230103:1910,0,0,5.02
20230103:2010,0,0,4.83
20230103:2110,0,0,4.53
20230103:2210,0,0,4.4
20230103:2310,0,0,4.39
20230104:0010,0,0,4.42
20230104:0110,0,0,4.67
20230104:0210,0,0,4.8
20230104:0310,0,0,4.97
20230104:0410,0,0,5.21
20230104:0510,0,0,5.34
20230104:0610,0,0,5.59
20230104:0710,0,0,6.02
20230104:0810,20.24,5.87,6.07
20230104:0910,31.8,11.32,6.23
20230104:1010,47.22,14.87,6.81
20230104:1110,41.44,16.2,7.52
20230104:1210,40.47,15.18,8.19
20230104:1310,77.09,11.91,8.41
20230104:1410,35.65,6.68,8.7
20230104:1510,0,0,9
20230104:1610,0,0,9.32
20230104:1710,0,0,9.6
20230104:1810,0,0,9.78
20230104:1910,0,0,9.33
20230104:2010,0,0,9.55
20230104:2110,0,0,9.97
20230104:2210,0,0,10.36
20230104:2310,0,0,10.4
20230105:0010,0,0,9.96
20230105:0110,0,0,9.6
20230105:0210,0,0,9.52
20230105:0310,0,0,9.26
20230105:0410,0,0,9.21
20230105:0510,0,0,9.12
20230105:0610,0,0,9.07
20230105:0710,0,0,8.81
20230105:0810,38.54,5.92,8.68
20230105:0910,83.83,11.39,8.7
20230105:1010,57.82,14.96,8.61
20230105:1110,53.96,16.31,8.78
20230105:1210,101.18,15.31,9.05
20230105:1310,71.31,12.05,8.89
20230105:1410,34.69,6.83,8.73
20230105:1510,0,0,8.21
20230105:1610,0,0,7.56
20230105:1710,0,0,7.43
20230105:1810,0,0,7.21
20230105:1910,0,0,7.86
20230105:2010,0,0,7.7
20230105:2110,0,0,7.49
20230105:2210,0,0,7.5
20230105:2310,0,0,7.39
20230106:0010,0,0,6.83
20230106:0110,0,0,6.83
20230106:0210,0,0,6.79
20230106:0310,0,0,7.1
20230106:0410,0,0,7.34
20230106:0510,0,0,7.82
20230106:0610,0,0,8.33
20230106:0710,0,0,8.42
20230106:0810,37.58,5.97,8.59
20230106:0910,47.22,11.47,9
20230106:1010,58.78,15.06,9.6
20230106:1110,124.31,16.43,9.93
20230106:1210,84.8,15.44,9.97
20230106:1310,89.62,12.19,10.02
20230106:1410,22.16,6.97,9.93
20230106:1510,0,0,9.78
20230106:1610,0,0,9.4
20230106:1710,0,0,8.96
20230106:1810,0,0,8.44
20230106:1910,0,0,9.14
20230106:2010,0,0,9.01
20230106:2110,0,0,8.73
20230106:2210,0,0,8.37
20230106:2310,0,0,8.03
20230107:0010,0,0,8.04
20230107:0110,0,0,8.03
20230107:0210,0,0,8.25
20230107:0310,0,0,8.4
20230107:0410,0,0,8.12
20230107:0510,0,0,7.99
20230107:0610,0,0,7.6
20230107:0710,0,0,7.43
20230107:0810,39.51,6.04,7.32
20230107:0910,32.76,11.56,8.06
20230107:1010,115.63,15.16,8.99
20230107:1110,96.36,16.55,9.59
20230107:1210,74.2,15.57,9.86
20230107:1310,64.56,12.33,9.96
20230107:1410,8.67,7.13,9.62
20230107:1510,0,0,8.83
20230107:1610,0,0,7.79
20230107:1710,0,0,7.02
20230107:1810,0,0,6.71
20230107:1910,0,0,7.41
20230107:2010,0,0,7.19
20230107:2110,0,0,6.98
20230107:2210,0,0,6.66
20230107:2310,0,0,6.42
20230108:0010,0,0,6.38
20230108:0110,0,0,6.42
20230108:0210,0,0,6.4
20230108:0310,0,0,6.4
20230108:0410,0,0,6.35
20230108:0510,0,0,6.31
20230108:0610,0,0,6.43
20230108:0710,0,0,6.57
20230108:0810,20.24,6.11,7.08
20230108:0910,30.84,11.65,7.56
20230108:1010,86.72,15.27,7.78
20230108:1110,51.07,16.68,7.99
20230108:1210,62.63,15.72,8.72
20230108:1310,48.18,12.49,9.16
20230108:1410,45.29,7.29,8.98
20230108:1510,0,0,8.5
20230108:1610,0,0,8.13
20230108:1710,0,0,7.95
20230108:1810,0,0,7.69
20230108:1910,0,0,6.24
20230108:2010,0,0,5.79
20230108:2110,0,0,5.52
20230108:2210,0,0,5.56
20230108:2310,0,0,5.43
20230109:0010,0,0,5.36
20230109:0110,0,0,5.48
20230109:0210,0,0,5.82
20230109:0310,0,0,6.04
20230109:0410,0,0,6.11
20230109:0510,0,0,5.84
20230109:0610,0,0,5.62
20230109:0710,0,0,6.4
20230109:0810,35.65,6.19,6.58
20230109:0910,57.82,11.75,6.83
20230109:1010,118.52,15.39,7.02
20230109:1110,72.27,16.81,7.06
20230109:1210,121.41,15.87,6.96
20230109:1310,58.78,12.65,6.87
20230109:1410,46.25,7.45,6.68
20230109:1510,0,0,6.16
20230109:1610,0,0,5.33
