Time,solar_irradiance,temp,hour_sun
20230101:0011,0,0,15.06
20230101:0111,0,0,15.03
20230101:0211,0,0,14.95
20230101:0311,0,0,14.84
20230101:0411,0,0,14.94
20230101:0511,0,0,14.86
20230101:0611,0,0,14.42
20230101:0711,0,0,14.04
20230101:0811,23.13,4.48,13.57
20230101:0911,69.38,9.83,13.85
20230101:1011,65.53,13.35,14.11
20230101:1111,106.96,14.72,14.34
20230101:1211,38.54,13.83,14.29
20230101:1311,52.03,10.75,14.2
20230101:1411,32.76,5.76,13.87
20230101:1511,0,0,13.12
20230101:1611,0,0,12.35
20230101:1711,0,0,11.37
20230101:1811,0,0,10.74
20230101:1911,0,0,11.46
20230101:2011,0,0,11.26
20230101:2111,0,0,11.05
20230101:2211,0,0,10.85
20230101:2311,0,0,10.61
20230102:0011,0,0,10.75
20230102:0111,0,0,11.19
20230102:0211,0,0,11.64
20230102:0311,0,0,11.93
20230102:0411,0,0,11.85
20230102:0511,0,0,11.88
20230102:0611,0,0,12.07
20230102:0711,0,0,13.29
20230102:0811,19.27,4.51,13.16
20230102:0911,52.03,9.88,13.21
20230102:1011,98.29,13.41,13.61
20230102:1111,104.07,14.81,13.55
20230102:1211,52.03,13.93,13.04
20230102:1311,32.76,10.86,12.92
20230102:1411,5.78,5.88,12.58
20230102:1511,0,0,11.76
20230102:1611,0,0,10.82
20230102:1711,0,0,10.24
20230102:1811,0,0,9.75
20230102:1911,0,0,9.36
20230102:2011,0,0,9.1
20230102:2111,0,0,8.85
20230102:2211,0,0,8.61
20230102:2311,0,0,8.26
20230103:0011,0,0,8.01
20230103:0111,0,0,7.68
20230103:0211,0,0,7.08
20230103:0311,0,0,6.89
20230103:0411,0,0,6.79
20230103:0511,0,0,6.58
20230103:0611,0,0,6.16
20230103:0711,0,0,6.21
20230103:0811,27.94,4.55,6.28
20230103:0911,53.96,9.94,6.42
20230103:1011,53.96,13.49,6.57
20230103:1111,61.67,14.9,6.84
20230103:1211,53,14.04,6.86
20230103:1311,56.85,10.98,7.07
20230103:1411,27.94,6,7.08
20230103:1511,0,0,6.72
20230103:1611,0,0,5.52
20230103:1711,0,0,5.18
20230103:1811,0,0,5.58
20230103:1911,0,0,6.02
20230103:2011,0,0,5.82
20230103:2111,0,0,5.32
20230103:2211,0,0,5.02
20230103:2311,0,0,4.9
20230104:0011,0,0,4.87
20230104:0111,0,0,4.97
20230104:0211,0,0,5.23
20230104:0311,0,0,5.52
20230104:0411,0,0,5.97
20230104:0511,0,0,6.39
20230104:0611,0,0,6.91
20230104:0711,0,0,6.81
20230104:0811,7.71,4.59,7.17
20230104:0911,32.76,10,7.6
20230104:1011,63.6,13.57,7.89
20230104:1111,74.2,15,8.61
20230104:1211,18.31,14.15,9.29
20230104:1311,75.16,11.11,9.78
20230104:1411,38.54,6.14,10.23
20230104:1511,0,0,10.6
20230104:1611,0,0,10.73
20230104:1711,0,0,10.99
20230104:1811,0,0,11.24
20230104:1911,0,0,10.95
20230104:2011,0,0,10.99
20230104:2111,0,0,10.43
20230104:2211,0,0,9.97
20230104:2311,0,0,9.74
20230105:0011,0,0,9.52
20230105:0111,0,0,9.39
20230105:0211,0,0,9.07
20230105:0311,0,0,8.98
20230105:0411,0,0,8.82
20230105:0511,0,0,8.88
20230105:0611,0,0,8.85
20230105:0711,0,0,8.64
20230105:0811,25.05,4.64,8.61
