Time,solar_irradiance,temp,hour_sun
20230101:0011,0,0,14.46
20230101:0111,0,0,14.65
20230101:0211,0,0,15.05
20230101:0311,0,0,15.38
20230101:0411,0,0,15.24
20230101:0511,0,0,15.13
20230101:0611,0,0,14.71
20230101:0711,0,0,15.42
20230101:0811,20.24,4.2,14.91
20230101:0911,63.6,9.15,14.73
20230101:1011,52.03,12.26,14.88
20230101:1111,98.29,13.29,14.79
20230101:1211,68.42,12.13,14.72
20230101:1311,53.96,8.9,14.3
20230101:1411,19.27,3.86,13.74
20230101:1511,0,0,13.07
20230101:1611,0,0,12.64
20230101:1711,0,0,12.2
20230101:1811,0,0,11.51
20230101:1911,0,0,11.15
20230101:2011,0,0,10.94
20230101:2111,0,0,10.74
20230101:2211,0,0,10.65
20230101:2311,0,0,10.62
20230102:0011,0,0,10.14
20230102:0111,0,0,9.97
20230102:0211,0,0,9.85
20230102:0311,0,0,9.85
20230102:0411,0,0,9.93
20230102:0511,0,0,10.14
20230102:0611,0,0,10.45
20230102:0711,0,0,10.83
20230102:0811,21.2,4.23,11.2
20230102:0911,62.63,9.2,11.71
20230102:1011,59.74,12.33,12.35
20230102:1111,99.25,13.38,12.8
20230102:1211,82.87,12.24,13.16
20230102:1311,16.38,9.02,13.12
20230102:1411,2.89,3.98,12.68
20230102:1511,0,0,12.15
20230102:1611,0,0,11.22
20230102:1711,0,0,10.1
20230102:1811,0,0,9.3
20230102:1911,0,0,8.61
20230102:2011,0,0,8.3
20230102:2111,0,0,8.2
20230102:2211,0,0,8.26
20230102:2311,0,0,8.26
20230103:0011,0,0,7.82
20230103:0111,0,0,7.3
20230103:0211,0,0,6.69
20230103:0311,0,0,6.18
20230103:0411,0,0,5.6
20230103:0511,0,0,5.25
20230103:0611,0,0,4.95
20230103:0711,0,0,4.97
20230103:0811,19.27,4.28,4.88
20230103:0911,43.36,9.26,5.09
20230103:1011,57.82,12.41,5.28
20230103:1111,52.03,13.47,5.59
20230103:1211,48.18,12.34,5.7
20230103:1311,63.6,9.14,5.61
20230103:1411,21.2,4.11,5.14
20230103:1511,0,0,4.59
20230103:1611,0,0,4.02
20230103:1711,0,0,3.61
20230103:1811,0,0,3.28
20230103:1911,0,0,3.14
20230103:2011,0,0,3.12
20230103:2111,0,0,3.29
20230103:2211,0,0,3.84
20230103:2311,0,0,4.5
20230104:0011,0,0,4.31
20230104:0111,0,0,4.43
20230104:0211,0,0,4.5
20230104:0311,0,0,4.3
20230104:0411,0,0,4.4
20230104:0511,0,0,4.48
20230104:0611,0,0,4.69
20230104:0711,0,0,5.45
20230104:0811,11.56,4.33,5.65
20230104:0911,30.84,9.32,6.11
20230104:1011,72.27,12.49,6.53
20230104:1111,52.03,13.57,6.98
20230104:1211,48.18,12.46,7.41
20230104:1311,63.6,9.26,7.97
20230104:1411,20.24,4.24,8.74
20230104:1511,0,0,9.28
20230104:1611,0,0,9.67
20230104:1711,0,0,9.94
20230104:1811,0,0,10.37
20230104:1911,0,0,10.31
20230104:2011,0,0,9.83
20230104:2111,0,0,9.54
20230104:2211,0,0,9.15
20230104:2311,0,0,8.82
20230105:0011,0,0,8.91
20230105:0111,0,0,8.91
20230105:0211,0,0,8.54
20230105:0311,0,0,8.04
20230105:0411,0,0,7.68
20230105:0511,0,0,7.38
20230105:0611,0,0,7.38
20230105:0711,0,0,7.57
20230105:0811,7.71,4.38,7.49
20230105:0911,44.33,9.4,7.27
20230105:1011,30.84,12.58,6.84
20230105:1111,42.4,13.68,5.97
20230105:1211,42.4,12.58,5.21
20230105:1311,21.2,9.4,4.76
20230105:1411,5.78,4.38,4.45
20230105:1511,0,0,4.3
20230105:1611,0,0,4.28
20230105:1711,0,0,4.29
20230105:1811,0,0,4.23
