Time,solar_irradiance,temp,hour_sun
20230107:2311,0.0,6.7,0.0
20230108:0011,0.0,6.66,0.0
20230108:0111,0.0,6.35,0.0
20230108:0211,0.0,5.79,0.0
20230108:0311,0.0,5.27,0.0
20230108:0411,0.0,5.33,0.0
20230108:0511,0.0,5.71,0.0
20230108:0611,0.0,6.18,0.0
20230108:0711,0.0,6.5,0.0
20230108:0811,38.38,6.67,4.4
20230108:0911,88.24,6.91,9.53
20230108:1011,47.63,7.24,12.84
20230108:1111,28.39,7.55,14.07
20230108:1211,188.64,7.57,13.09
20230108:1311,37.55,7.62,10.0
20230108:1411,14.66,7.59,5.07
20230108:1511,0.0,7.29,0.0
20230108:1611,0.0,6.81,0.0
20230108:1711,0.0,6.78,0.0
20230108:1811,0.0,6.61,0.0
20230108:1911,0.0,6.58,0.0
20230108:2011,0.0,6.15,0.0
20230108:2111,0.0,6.08,0.0
20230108:2211,0.0,5.83,0.0
20230108:2311,0.0,5.69,0.0
20230109:0011,0.0,5.52,0.0
20230109:0111,0.0,5.0,0.0
20230109:0211,0.0,4.44,0.0
20230109:0311,0.0,4.22,0.0
20230109:0411,0.0,4.34,0.0
20230109:0511,0.0,4.46,0.0
20230109:0611,0.0,4.35,0.0
20230109:0711,0.0,4.86,0.0
20230109:0811,36.11,5.24,4.49
20230109:0911,87.89,5.68,9.63
20230109:1011,54.96,6.19,12.97
20230109:1111,34.81,6.63,14.21
20230109:1211,307.33,6.85,13.24
20230109:1311,172.91,6.98,10.16
20230109:1411,21.98,6.76,5.23
20230109:1511,0.0,5.99,0.0
20230109:1611,0.0,5.43,0.0
20230109:1711,0.0,4.87,0.0
20230109:1811,0.0,4.35,0.0
20230109:1911,0.0,4.32,0.0
20230109:2011,0.0,4.36,0.0
20230109:2111,0.0,4.49,0.0
20230109:2211,0.0,4.77,0.0
20230109:2311,0.0,5.02,0.0
20230110:0011,0.0,5.18,0.0
20230110:0111,0.0,5.19,0.0
20230110:0211,0.0,5.34,0.0
20230110:0311,0.0,5.28,0.0
20230110:0411,0.0,5.17,0.0
20230110:0511,0.0,5.1,0.0
20230110:0611,0.0,4.96,0.0
20230110:0711,0.0,5.37,0.0
20230110:0811,87.21,5.43,4.58
20230110:0911,128.87,5.64,9.74
20230110:1011,339.29,5.78,13.09
20230110:1111,284.4,6.21,14.35
20230110:1211,252.53,6.48,13.4
20230110:1311,174.75,6.41,10.33
20230110:1411,20.15,6.13,5.4
20230110:1511,0.0,5.83,0.0
20230110:1611,0.0,5.79,0.0
20230110:1711,0.0,5.64,0.0
20230110:1811,0.0,5.66,0.0
20230110:1911,0.0,5.16,0.0
20230110:2011,0.0,4.79,0.0
20230110:2111,0.0,4.66,0.0
20230110:2211,0.0,4.47,0.0
20230110:2311,0.0,4.33,0.0
20230111:0011,0.0,4.44,0.0
20230111:0111,0.0,4.54,0.0
20230111:0211,0.0,4.57,0.0
20230111:0311,0.0,4.73,0.0
20230111:0411,0.0,4.97,0.0
20230111:0511,0.0,5.3,0.0
20230111:0611,0.0,5.73,0.0
20230111:0711,0.0,5.9,0.0
20230111:0811,30.19,6.05,4.68
20230111:0911,54.08,6.37,9.86
20230111:1011,53.13,6.72,13.23
20230111:1111,29.31,7.15,14.5
20230111:1211,128.9,7.53,13.56
20230111:1311,33.89,7.88,10.5
20230111:1411,11.91,8.05,5.58
20230111:1511,0.0,7.99,0.0
20230111:1611,0.0,7.84,0.0
20230111:1711,0.0,7.66,0.0
20230111:1811,0.0,7.43,0.0
20230111:1911,0.0,6.88,0.0
20230111:2011,0.0,6.53,0.0
20230111:2111,0.0,6.32,0.0
20230111:2211,0.0,6.12,0.0
20230111:2311,0.0,5.85,0.0
20230112:0011,0.0,5.82,0.0
20230112:0111,0.0,5.85,0.0
20230112:0211,0.0,5.74,0.0
20230112:0311,0.0,5.59,0.0
20230112:0411,0.0,5.82,0.0
20230112:0511,0.0,6.09,0.0
20230112:0611,0.0,6.3,0.0
20230112:0711,0.0,6.24,0.0
20230112:0811,4.58,6.78,4.79
20230112:0911,249.35,7.14,9.98
20230112:1011,47.63,7.42,13.37
20230112:1111,44.88,7.45,14.66
20230112:1211,59.54,7.52,13.74
20230112:1311,123.83,7.9,10.68
20230112:1411,22.9,8.58,5.76
20230112:1511,0.0,9.03,0.0
20230112:1611,0.0,9.16,0.0
20230112:1711,0.0,9.11,0.0
20230112:1811,0.0,9.04,0.0
20230112:1911,0.0,8.69,0.0
20230112:2011,0.0,8.72,0.0
20230112:2111,0.0,8.96,0.0
20230112:2211,0.0,9.11,0.0
20230112:2311,0.0,9.14,0.0
20230113:0011,0.0,9.0,0.0
20230113:0111,0.0,8.83,0.0
20230113:0211,0.0,8.89,0.0
20230113:0311,0.0,9.05,0.0
20230113:0411,0.0,9.0,0.0
20230113:0511,0.0,8.43,0.0
20230113:0611,0.0,8.0,0.0
20230113:0711,0.0,7.68,0.0
20230113:0811,259.69,7.46,4.9
20230113:0911,140.08,7.72,10.12
20230113:1011,491.98,7.96,13.52
20230113:1111,348.15,8.18,14.83
20230113:1211,604.19,8.36,13.91
20230113:1311,204.53,8.35,10.87
20230113:1411,22.9,8.17,5.95
20230113:1511,0.0,7.78,0.0
20230113:1611,0.0,7.41,0.0
20230113:1711,0.0,6.82,0.0
20230113:1811,0.0,6.52,0.0
20230113:1911,0.0,6.29,0.0
20230113:2011,0.0,6.39,0.0
20230113:2111,0.0,6.48,0.0
20230113:2211,0.0,6.37,0.0
20230113:2311,0.0,6.35,0.0
20230114:0011,0.0,6.34,0.0
20230114:0111,0.0,6.37,0.0
