Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,14.06
20230101:0110,0,0,13.75
20230101:0210,0,0,13.4
20230101:0310,0,0,13.13
20230101:0410,0,0,12.8
20230101:0510,0,0,12.58
20230101:0610,0,0,12.38
20230101:0710,0,0,12.26
20230101:0810,35.65,5.73,12.15
20230101:0910,75.16,11.18,12.61
20230101:1010,110.82,14.72,13.37
20230101:1110,123.34,16.03,14.04
20230101:1210,114.67,15,14.31
20230101:1310,85.76,11.72,14.3
20230101:1410,38.54,6.49,13.86
20230101:1510,0,0,13.2
20230101:1610,0,0,12.56
20230101:1710,0,0,12
20230101:1810,0,0,11.81
20230101:1910,0,0,12.2
20230101:2010,0,0,11.88
20230101:2110,0,0,11.64
20230101:2210,0,0,11.35
20230101:2310,0,0,11.22
20230102:0010,0,0,11.62
20230102:0110,0,0,11.79
20230102:0210,0,0,11.71
20230102:0310,0,0,11.49
20230102:0410,0,0,11.42
20230102:0510,0,0,11.26
20230102:0610,0,0,11.02
20230102:0710,0,0,11.57
20230102:0810,34.69,5.76,11.74
20230102:0910,80.94,11.23,12.3
20230102:1010,66.49,14.78,13.14
20230102:1110,78.05,16.12,13.86
20230102:1210,67.45,15.1,13.91
20230102:1310,74.2,11.84,13.61
20230102:1410,39.51,6.61,13.17
20230102:1510,0,0,12.37
20230102:1610,0,0,11.76
20230102:1710,0,0,11.48
20230102:1810,0,0,11.15
20230102:1910,0,0,10.84
20230102:2010,0,0,10.39
20230102:2110,0,0,9.65
20230102:2210,0,0,9.13
20230102:2310,0,0,8.56
20230103:0010,0,0,7.67
20230103:0110,0,0,7
20230103:0210,0,0,6.44
20230103:0310,0,0,6.34
20230103:0410,0,0,6.3
20230103:0510,0,0,6.11
20230103:0610,0,0,5.82
20230103:0710,0,0,5.24
20230103:0810,30.84,5.79,5.34
20230103:0910,50.11,11.28,5.87
20230103:1010,52.03,14.86,6.29
20230103:1110,63.6,16.21,6.6
20230103:1210,72.27,15.21,7.01
20230103:1310,89.62,11.96,7.36
20230103:1410,43.36,6.74,7.36
20230103:1510,0,0,6.93
20230103:1610,0,0,6.14
20230103:1710,0,0,5.55
20230103:1810,0,0,5.32
20230103:1910,0,0,4.98
20230103:2010,0,0,4.71
20230103:2110,0,0,4.37
20230103:2210,0,0,4.33
20230103:2310,0,0,4.37
20230104:0010,0,0,4.41
20230104:0110,0,0,4.65
20230104:0210,0,0,4.72
20230104:0310,0,0,4.88
20230104:0410,0,0,5.09
20230104:0510,0,0,5.15
20230104:0610,0,0,5.3
20230104:0710,0,0,5.5
20230104:0810,12.53,5.84,5.58
20230104:0910,31.8,11.34,5.83
20230104:1010,73.23,14.94,6.41
20230104:1110,60.71,16.31,7.12
20230104:1210,40.47,15.33,7.69
20230104:1310,83.83,12.09,8.03
20230104:1410,26.02,6.87,8.41
20230104:1510,0,0,8.63
20230104:1610,0,0,8.85
20230104:1710,0,0,9.07
20230104:1810,0,0,9.22
20230104:1910,0,0,8.86
20230104:2010,0,0,9.1
20230104:2110,0,0,9.56
20230104:2210,0,0,9.79
20230104:2310,0,0,9.87
20230105:0010,0,0,9.56
20230105:0110,0,0,9.33
20230105:0210,0,0,9.28
