Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,14.38
20230101:0110,0,0,14.04
20230101:0210,0,0,13.61
20230101:0310,0,0,13.33
20230101:0410,0,0,13.15
20230101:0510,0,0,13.02
20230101:0610,0,0,12.79
20230101:0710,0,0,12.57
20230101:0810,39.51,6.05,12.51
20230101:0910,71.31,11.38,12.87
20230101:1010,90.58,14.77,13.53
20230101:1110,106,15.93,14.18
20230101:1210,106,14.74,14.52
20230101:1310,57.82,11.34,14.48
20230101:1410,36.62,6,14.19
20230101:1510,0,0,13.42
20230101:1610,0,0,12.83
20230101:1710,0,0,12.31
20230101:1810,0,0,12.07
20230101:1910,0,0,12.21
20230101:2010,0,0,12.34
20230101:2110,0,0,12.12
20230101:2210,0,0,11.71
20230101:2310,0,0,11.49
20230102:0010,0,0,11.81
20230102:0110,0,0,12.11
20230102:0210,0,0,12.34
20230102:0310,0,0,12.32
20230102:0410,0,0,12.16
20230102:0510,0,0,12
20230102:0610,0,0,11.83
20230102:0710,0,0,11.53
20230102:0810,32.76,6.08,11.67
20230102:0910,79.98,11.42,12.39
20230102:1010,108.89,14.83,13.33
20230102:1110,112.74,16.01,14.22
20230102:1210,71.31,14.85,14.53
20230102:1310,53.96,11.45,14.15
20230102:1410,39.51,6.12,13.37
20230102:1510,0,0,12.48
20230102:1610,0,0,11.88
20230102:1710,0,0,11.72
20230102:1810,0,0,11.38
20230102:1910,0,0,11.03
20230102:2010,0,0,10.85
20230102:2110,0,0,10.07
20230102:2210,0,0,9.24
20230102:2310,0,0,8.77
20230103:0010,0,0,8.23
20230103:0110,0,0,7.54
20230103:0210,0,0,6.87
20230103:0310,0,0,6.42
20230103:0410,0,0,6.09
20230103:0510,0,0,5.93
20230103:0610,0,0,5.59
20230103:0710,0,0,5.25
20230103:0810,31.8,6.12,5.42
20230103:0910,53.96,11.48,5.83
20230103:1010,52.03,14.91,6.07
20230103:1110,118.52,16.11,6.45
20230103:1210,116.6,14.96,6.68
20230103:1310,72.27,11.57,6.81
20230103:1410,41.44,6.25,6.74
20230103:1510,0,0,6.4
20230103:1610,0,0,5.82
20230103:1710,0,0,5.29
20230103:1810,0,0,4.89
20230103:1910,0,0,4.33
20230103:2010,0,0,4.23
20230103:2110,0,0,3.99
20230103:2210,0,0,3.82
20230103:2310,0,0,3.7
20230104:0010,0,0,3.66
20230104:0110,0,0,3.84
20230104:0210,0,0,3.94
20230104:0310,0,0,4.04
20230104:0410,0,0,4.2
20230104:0510,0,0,4.43
20230104:0610,0,0,4.72
20230104:0710,0,0,5.34
20230104:0810,17.34,6.17,5.8
20230104:0910,23.13,11.54,5.92
20230104:1010,32.76,14.99,6.14
20230104:1110,57.82,16.21,6.77
20230104:1210,56.85,15.07,7.35
20230104:1310,41.44,11.7,7.66
20230104:1410,28.91,6.38,7.71
20230104:1510,0,0,8.02
20230104:1610,0,0,8.41
20230104:1710,0,0,8.81
20230104:1810,0,0,9
20230104:1910,0,0,8.55
20230104:2010,0,0,8.79
20230104:2110,0,0,9.07
20230104:2210,0,0,9.5
20230104:2310,0,0,9.61
20230105:0010,0,0,9.44
20230105:0110,0,0,8.71
20230105:0210,0,0,8.49
20230105:0310,0,0,8.27
20230105:0410,0,0,8.1
20230105:0510,0,0,7.84
20230105:0610,0,0,7.62
20230105:0710,0,0,7.66
20230105:0810,39.51,6.22,7.34
20230105:0910,75.16,11.61,7.56
20230105:1010,116.6,15.08,7.57
20230105:1110,116.6,16.31,7.36
20230105:1210,114.67,15.2,7.51
20230105:1310,72.27,11.83,7.77
20230105:1410,18.31,6.53,7.65
20230105:1510,0,0,7.17
20230105:1610,0,0,6.69
20230105:1710,0,0,6.62
20230105:1810,0,0,6.52
20230105:1910,0,0,6.69
20230105:2010,0,0,6.48
20230105:2110,0,0,6.24
20230105:2210,0,0,6.28
20230105:2310,0,0,6.27
20230106:0010,0,0,5.75
20230106:0110,0,0,5.91
20230106:0210,0,0,5.81
20230106:0310,0,0,6.09
20230106:0410,0,0,6.34
20230106:0510,0,0,6.64
20230106:0610,0,0,7.11
20230106:0710,0,0,7.46
20230106:0810,41.44,6.28,7.97
20230106:0910,58.78,11.69,8.38
20230106:1010,34.69,15.18,8.93
20230106:1110,106,16.43,9.22
20230106:1210,104.07,15.33,9.32
20230106:1310,88.65,11.97,9.18
20230106:1410,39.51,6.67,9.01
20230106:1510,0,0,8.98
20230106:1610,0,0,8.65
20230106:1710,0,0,8.51
20230106:1810,0,0,8.03
20230106:1910,0,0,8.48
20230106:2010,0,0,8.35
20230106:2110,0,0,8.24
20230106:2210,0,0,8
20230106:2310,0,0,7.7
20230107:0010,0,0,7.44
20230107:0110,0,0,7.32
20230107:0210,0,0,7.45
20230107:0310,0,0,7.54
20230107:0410,0,0,7.52
20230107:0510,0,0,7.57
20230107:0610,0,0,7.43
20230107:0710,0,0,6.91
20230107:0810,37.58,6.35,6.92
20230107:0910,82.87,11.78,7.59
20230107:1010,100.22,15.28,8.47
20230107:1110,125.27,16.55,9.13
20230107:1210,66.49,15.46,9.5
20230107:1310,79.02,12.12,9.52
20230107:1410,35.65,6.83,9.12
20230107:1510,0,0,8.4
20230107:1610,0,0,7.55
20230107:1710,0,0,6.95
20230107:1810,0,0,6.52
20230107:1910,0,0,7.09
20230107:2010,0,0,6.83
20230107:2110,0,0,6.55
20230107:2210,0,0,6.28
20230107:2310,0,0,5.94
20230108:0010,0,0,5.76
20230108:0110,0,0,5.66
20230108:0210,0,0,5.65
20230108:0310,0,0,5.51
20230108:0410,0,0,5.32
20230108:0510,0,0,5.1
20230108:0610,0,0,5.2
20230108:0710,0,0,5.4
20230108:0810,34.69,6.42,5.8
20230108:0910,42.4,11.87,6.35
20230108:1010,68.42,15.39,7.04
20230108:1110,73.23,16.68,7.63
20230108:1210,106.96,15.61,7.94
20230108:1310,59.74,12.28,8.49
20230108:1410,31.8,6.99,8.4
20230108:1510,0,0,7.89
20230108:1610,0,0,7.54
20230108:1710,0,0,7.27
20230108:1810,0,0,7
20230108:1910,0,0,5.43
20230108:2010,0,0,4.89
20230108:2110,0,0,4.44
20230108:2210,0,0,4.58
20230108:2310,0,0,4.6
20230109:0010,0,0,4.56
20230109:0110,0,0,4.56
20230109:0210,0,0,4.75
20230109:0310,0,0,5
20230109:0410,0,0,5.02
20230109:0510,0,0,4.82
20230109:0610,0,0,4.76
20230109:0710,0,0,4.52
20230109:0810,38.54,6.5,5.04
20230109:0910,67.45,11.97,5.77
20230109:1010,117.56,15.51,6.33
20230109:1110,131.05,16.82,6.5
20230109:1210,54.93,15.76,6.15
20230109:1310,62.63,12.44,6.11
20230109:1410,44.33,7.15,5.81
20230109:1510,0,0,5.49
20230109:1610,0,0,4.87
20230109:1710,0,0,4.25
20230109:1810,0,0,3.91
20230109:1910,0,0,4.1
20230109:2010,0,0,4.21
20230109:2110,0,0,4.33
20230109:2210,0,0,4.44
20230109:2310,0,0,4.58
20230110:0010,0,0,4.62
20230110:0110,0,0,4.58
20230110:0210,0,0,4.5
20230110:0310,0,0,4.41
20230110:0410,0,0,4.25
20230110:0510,0,0,4.1
20230110:0610,0,0,3.98
20230110:0710,0,0,3.67
20230110:0810,35.65,6.59,3.64
20230110:0910,89.62,12.08,3.93
20230110:1010,122.38,15.64,4.21
20230110:1110,124.31,16.96,4.51
20230110:1210,115.63,15.92,4.72
20230110:1310,79.02,12.6,4.96
20230110:1410,35.65,7.32,4.87
20230110:1510,0,0,4.49
20230110:1610,0,0,3.77
20230110:1710,0,0,3.36
20230110:1810,0,0,2.78
20230110:1910,0,0,2.56
20230110:2010,0,0,2.5
20230110:2110,0,0,2.16
20230110:2210,0,0,1.98
20230110:2310,0,0,2.08
20230111:0010,0,0,2.15
20230111:0110,0,0,2.37
20230111:0210,0,0,2.86
20230111:0310,0,0,3.43
20230111:0410,0,0,4.18
20230111:0510,0,0,4.72
20230111:0610,0,0,5.09
20230111:0710,0,0,5.46
20230111:0810,24.09,6.68,6
20230111:0910,51.07,12.19,6.6
20230111:1010,110.82,15.77,7.34
20230111:1110,131.05,17.12,8.01
20230111:1210,73.23,16.08,8.38
20230111:1310,54.93,12.78,8.68
20230111:1410,18.31,7.5,8.66
20230111:1510,0,0,8.38
20230111:1610,0,0,8.4
20230111:1710,0,0,8.26
20230111:1810,0,0,7.93
20230111:1910,0,0,7.25
20230111:2010,0,0,6.77
20230111:2110,0,0,6.23
20230111:2210,0,0,5.64
20230111:2310,0,0,5.29
20230112:0010,0,0,5.2
20230112:0110,0,0,4.93
20230112:0210,0,0,4.72
20230112:0310,0,0,4.81
20230112:0410,0,0,4.99
20230112:0510,0,0,5.38
20230112:0610,0,0,5.64
20230112:0710,0,0,5.96
20230112:0810,26.98,6.78,6.4
20230112:0910,50.11,12.31,6.85
20230112:1010,107.92,15.91,7.27
20230112:1110,121.41,17.27,7.18
20230112:1210,65.53,16.25,6.92
20230112:1310,35.65,12.96,6.52
20230112:1410,42.4,7.68,6.55
20230112:1510,0,0,6.81
20230112:1610,0,0,7.06
20230112:1710,0,0,7.19
20230112:1810,0,0,7.34
20230112:1910,0,0,7.67
20230112:2010,0,0,7.77
20230112:2110,0,0,7.86
20230112:2210,0,0,7.95
20230112:2310,0,0,8.12
20230113:0010,0,0,8.22
20230113:0110,0,0,8.12
20230113:0210,0,0,8.14
20230113:0310,0,0,8.21
20230113:0410,0,0,8.21
20230113:0510,0,0,8.22
20230113:0610,0,0,8.23
20230113:0710,0,0,8.51
20230113:0810,32.76,6.89,8.64
20230113:0910,28.91,12.44,8.81
20230113:1010,77.09,16.06,9
20230113:1110,132.01,17.44,8.97
20230113:1210,55.89,16.43,8.23
20230113:1310,67.45,13.14,7.45
20230113:1410,34.69,7.87,7.07
20230113:1510,0,0,6.53
20230113:1610,0,0,6.03
20230113:1710,0,0,5.92
20230113:1810,0,0,5.5
20230113:1910,0,0,5.27
20230113:2010,0,0,4.91
20230113:2110,0,0,4.76
20230113:2210,0,0,4.89
20230113:2310,0,0,5.04
20230114:0010,0,0,5.12
20230114:0110,0,0,5.07
20230114:0210,0,0,5.13
20230114:0310,0,0,5.29
20230114:0410,0,0,5.31
20230114:0510,0,0,5.15
20230114:0610,0,0,4.86
20230114:0710,0,0,5
20230114:0810,32.76,7.01,4.89
20230114:0910,76.13,12.57,5.04
20230114:1010,66.49,16.22,5.67
20230114:1110,110.82,17.61,6.23
20230114:1210,125.27,16.62,6.99
20230114:1310,75.16,13.33,7.13
20230114:1410,46.25,8.06,6.88
20230114:1510,0,0,6.74
20230114:1610,0,0,6.8
20230114:1710,0,0,6.71
20230114:1810,0,0,5.93
20230114:1910,0,0,6.1
20230114:2010,0,0,6.17
20230114:2110,0,0,6.35
20230114:2210,0,0,6.94
20230114:2310,0,0,7.71
20230115:0010,0,0,8.36
20230115:0110,0,0,8.77
20230115:0210,0,0,9.14
20230115:0310,0,0,9.37
20230115:0410,0,0,9.37
20230115:0510,0,0,9.37
20230115:0610,0,0,8.99
20230115:0710,0,0,7.65
20230115:0810,31.8,7.13,6.31
20230115:0910,78.05,12.72,5.21
20230115:1010,75.16,16.38,5.05
20230115:1110,132.01,17.79,5.34
