Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,12.12
20230101:0110,0,0,12.83
20230101:0210,0,0,12.71
20230101:0310,0,0,11.99
20230101:0410,0,0,11.42
20230101:0510,0,0,10.91
20230101:0610,0,0,10.43
20230101:0710,0,0,10.17
20230101:0810,44.33,6.8,10.2
20230101:0910,63.6,11.95,11
20230101:1010,116.6,15.12,11.9
20230101:1110,124.31,16.03,12.64
20230101:1210,95.4,14.6,13.04
20230101:1310,67.45,10.95,13.2
20230101:1410,27.94,5.41,12.84
20230101:1510,0,0,11.83
20230101:1610,0,0,11.17
20230101:1710,0,0,10.62
20230101:1810,0,0,10.23
20230101:1910,0,0,10.08
20230101:2010,0,0,9.45
20230101:2110,0,0,9.34
20230101:2210,0,0,8.96
20230101:2310,0,0,8.31
20230102:0010,0,0,7.92
20230102:0110,0,0,7.53
20230102:0210,0,0,7.37
20230102:0310,0,0,7.28
20230102:0410,0,0,7.16
20230102:0510,0,0,6.99
20230102:0610,0,0,7.09
20230102:0710,0,0,7.15
20230102:0810,46.25,6.83,7.32
20230102:0910,86.72,12,7.81
20230102:1010,114.67,15.19,8.66
20230102:1110,106,16.12,9.55
20230102:1210,112.74,14.7,10.11
20230102:1310,57.82,11.07,10.36
20230102:1410,31.8,5.54,10.06
20230102:1510,0,0,9.03
20230102:1610,0,0,8.33
20230102:1710,0,0,8.16
20230102:1810,0,0,7.84
20230102:1910,0,0,7.54
20230102:2010,0,0,8.13
20230102:2110,0,0,8.44
20230102:2210,0,0,8.94
20230102:2310,0,0,8.99
20230103:0010,0,0,8.75
20230103:0110,0,0,8.5
20230103:0210,0,0,7.85
20230103:0310,0,0,6.97
20230103:0410,0,0,6.52
20230103:0510,0,0,6.31
20230103:0610,0,0,5.96
20230103:0710,0,0,5.4
20230103:0810,32.76,6.87,5.4
20230103:0910,93.47,12.05,6.21
20230103:1010,73.23,15.26,6.58
20230103:1110,122.38,16.21,6.59
20230103:1210,70.34,14.81,6.56
20230103:1310,51.07,11.19,6.57
20230103:1410,33.73,5.67,6.18
20230103:1510,0,0,5.7
20230103:1610,0,0,5.26
20230103:1710,0,0,4.72
20230103:1810,0,0,3.79
20230103:1910,0,0,2.95
20230103:2010,0,0,2.36
20230103:2110,0,0,1.92
20230103:2210,0,0,1.28
20230103:2310,0,0,1.09
20230104:0010,0,0,1.01
20230104:0110,0,0,1.03
20230104:0210,0,0,1.48
20230104:0310,0,0,1.57
20230104:0410,0,0,1.98
20230104:0510,0,0,1.94
20230104:0610,0,0,1.94
20230104:0710,0,0,2
20230104:0810,46.25,6.92,2.43
20230104:0910,42.4,12.12,3.04
20230104:1010,31.8,15.35,3.67
20230104:1110,76.13,16.32,4.02
20230104:1210,32.76,14.93,4.4
20230104:1310,38.54,11.32,5.02
20230104:1410,10.6,5.8,5.69
20230104:1510,0,0,6.05
20230104:1610,0,0,6.13
20230104:1710,0,0,6.63
20230104:1810,0,0,7.17
20230104:1910,0,0,7.32
20230104:2010,0,0,7.73
20230104:2110,0,0,8.05
20230104:2210,0,0,8.21
20230104:2310,0,0,8.47
20230105:0010,0,0,8.48
20230105:0110,0,0,8.66
20230105:0210,0,0,8.42
20230105:0310,0,0,7.96
20230105:0410,0,0,7.84
20230105:0510,0,0,7.36
20230105:0610,0,0,7.24
20230105:0710,0,0,7.37
